DS_OCUPACAO,Percentage
OUTROS,21.88231425839639
EMPRESÁRIO,7.6319216409031725
SERVIDOR PÚBLICO MUNICIPAL,6.8410623818361955
AGRICULTOR,6.765999974041819
VEREADOR,5.770071082153318
COMERCIANTE,4.3410731977451
APOSENTADO (EXCETO SERVIDOR PÚBLICO),3.765450525869491
DONA DE CASA,2.672394772022272
ADVOGADO,2.2278609160642207
PROFESSOR DE ENSINO FUNDAMENTAL,2.1746466442561037
ADMINISTRADOR,1.827888604791015
TRABALHADOR RURAL,1.5172557010655834
PROFESSOR DE ENSINO MÉDIO,1.174391388805967
MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,1.1166344352581326
MOTORISTA PARTICULAR,1.0818072085869663
"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",0.9935493919296015
TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO),0.9530978926283091
SERVIDOR PÚBLICO ESTADUAL,0.9169727568886523
MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA,0.9048589389160729
ENFERMEIRO,0.881496575683241
VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,0.8263354402723879
CABELEIREIRO E BARBEIRO,0.7532198960807472
VIGILANTE,0.7270453965328523
AGENTE DE SAÚDE E SANITARISTA,0.6831328063822515
AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS,0.678806442820616
TRABALHADOR DE CONSTRUÇÃO CIVIL,0.6759943065055529
PRODUTOR AGROPECUÁRIO,0.6738311247247352
AGENTE ADMINISTRATIVO,0.6731821701904898
POLICIAL MILITAR,0.6069888076974661
MECÂNICO DE MANUTENÇÃO,0.5829774899303888
PEDAGOGO,0.5442565360537508
MÉDICO,0.5369017179989704
"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",0.5263021272729633
"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS",0.5228410364236549
ENGENHEIRO,0.5068334912456033
PESCADOR,0.5051029458209492
ASSISTENTE SOCIAL,0.47114099186211017
PREFEITO,0.4508070831224231
GERENTE,0.44734599227311467
ELETRICISTA E ASSEMELHADOS,0.43198740162930854
CONTADOR,0.3627655846431399
PECUARISTA,0.35259863027329635
COZINHEIRO,0.3346442214925089
COMERCIÁRIO,0.32901994886238267
PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,0.31452663093090366
JORNALISTA E REDATOR,0.3026291311364059
SERVIDOR PÚBLICO CIVIL APOSENTADO,0.28207890421863707
ODONTÓLOGO,0.26390817725976784
TAXISTA,0.2626102681912772
MILITAR REFORMADO,0.2559044046707421
REPRESENTANTE COMERCIAL,0.25460649560225146
PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL,0.24790063208171634
