IDADE,FX_ID,SEXO,p1,p2,p3m,p3h,p4a_p,p4a_f,p4b_p,p4b_f,p4c_p,p4c_f,p5a_p,p5a_f,p5b_p,p5b_f,p5c_p,p5c_f,p6a,p6b,p6c,p7,p8,p9,p10a,p10b,p10c,p10d,p10e,p10f,p11,p12a,p12b,p12c,p13,p14,p15a,p15b,p16a,p16b,p16c,p17a,p17b,p18,p19,p20a,p20b,p21,p22,p23,p24a,p24b,p24c,p25,p26,COR,ESCOLA,RENDA,nquest
16.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,,,1.0,1.0,1.0,2.0,4.0,5.0,5.0,2.0,,1.0,1.0,2.0,,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,6.0,33.0
16.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,5.0,1.0,4.0,40.0
16.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,7.0,9.0,23.0,1.0,1.0,2.0,2.0,7.0,5.0,5.0,2.0,,1.0,2.0,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,2.0,1.0,41.0
16.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,1.0,4.0,3.0,1.0,,,1.0,2.0,1.0,1.0,4.0,5.0,5.0,1.0,5.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,1.0,5.0,2.0,3.0,52.0
16.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,10.0,3.0,9.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,1.0,20.0,3.0,1.0,2.0,,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,85.0
16.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,,,1.0,1.0,1.0,2.0,3.0,7.0,7.0,1.0,5.0,6.0,1.0,2.0,,4.0,1.0,2.0,0.0,,,1.0,1.0,1.0,1.0,2.0,103.0
16.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,,,1.0,1.0,1.0,1.0,3.0,5.0,5.0,2.0,,3.0,1.0,2.0,,3.0,1.0,2.0,,,,1.0,1.0,5.0,2.0,3.0,112.0
16.0,1.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,,,1.0,1.0,1.0,1.0,2.0,5.0,5.0,2.0,,14.0,1.0,2.0,,2.0,1.0,2.0,,,,1.0,1.0,1.0,2.0,6.0,152.0
16.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,7.0,9.0,17.0,2.0,1.0,1.0,2.0,2.0,5.0,5.0,2.0,,10.0,1.0,2.0,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,4.0,165.0
16.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,9.0,13.0,,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,4.0,2.0,1.0,2.0,,4.0,2.0,2.0,,,,1.0,1.0,5.0,3.0,2.0,187.0
16.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,9.0,7.0,0.0,1.0,1.0,2.0,2.0,5.0,5.0,5.0,2.0,0.0,1.0,1.0,2.0,0.0,4.0,1.0,1.0,2.0,1.0,1.0,9.0,1.0,5.0,2.0,2.0,230.0
16.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,13.0,20.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,237.0
16.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,16.0,4.0,1.0,1.0,1.0,1.0,4.0,6.0,4.0,1.0,10.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,4.0,4.0,304.0
16.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,,,1.0,1.0,1.0,2.0,4.0,5.0,5.0,1.0,3.0,2.0,2.0,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,340.0
