IDADE,FX_ID,SEXO,COR,p1,p2,p3a,p3b,p3c,p3d,p3e,p3f,p3g,p4a,p4b,p4c,p4d,p4e,p4f,p4g,p5a,p5b,p5c,p5d,p5e,p5f,p5g,p6,p7,p8,p9,p10,p11,p12,p13,p13a,p14,p14a,p15,p15a,p16,p17,p18,p18a,p19,p20a,p20b,p20c,p20d,p20e,p21a,p21b,p21c,p21d,p22,p23a,p23b,p23c,p23d,p23e,p23f,p23g,p23h,p23i,p24,p25a,p25b,p25c,p25d,p26a,p26b,p26c,p26d,p27a,p27b,p27c,p27d,p27e,p27f,p27g,p28,p29,p30,PARTIDO,ESCOLA,RENDA,RENDAF,CIDADE,REIGIAO,metrop,peso
63.0,4.0,2.0,1.0,6.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,30.0,35.0,70.0,73.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,14.0,1.0,1.0,1.0,209.0,1.0,2.0,0.9782608
30.0,3.0,1.0,2.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,7.0,1.0,4.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,14.0,1.0,3.0,3.0,209.0,1.0,2.0,0.9782608
27.0,3.0,1.0,1.0,6.0,2.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,5.0,1.0,1.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,14.0,1.0,6.0,6.0,209.0,1.0,2.0,0.9782608
44.0,4.0,1.0,1.0,6.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,14.0,2.0,3.0,4.0,209.0,1.0,2.0,0.9782608
16.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,0.0,0.0,0.0,0.0,14.0,10.0,36.0,18.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,4.0,2.0,1.0,3.0,209.0,1.0,2.0,0.9782608
16.0,1.0,1.0,1.0,1.0,1.0,98.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,14.0,1.0,2.0,3.0,209.0,1.0,2.0,0.9782608
18.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,3.0,2.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,2.0,2.0,2.0,5.0,209.0,1.0,2.0,0.9782608
44.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,2.0,1.0,3.0,4.0,209.0,1.0,2.0,0.9782608
32.0,3.0,1.0,4.0,3.0,3.0,5.0,11.0,6.0,17.0,0.0,0.0,0.0,8.0,18.0,10.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,6.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,50.0,52.0,53.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0,1.0,1.0,2.0,2.0,30.0,31.0,32.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,14.0,1.0,2.0,3.0,209.0,1.0,2.0,0.9782608
39.0,3.0,2.0,1.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,8.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,14.0,1.0,97.0,5.0,209.0,1.0,2.0,0.9782608
