IDADE,FX_ID,SEXO,LOCAL,PERIODO,p1,p2,p3a,p3b,p3c,p3d,p3e,p3f,p4,p5,nquest
35.0,5.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,10.0,,212.0
16.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,6.0,2.0,1.0
17.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0
17.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,4.0
16.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,5.0
15.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,2.0,6.0
15.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,6.0,2.0,7.0
18.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,9.0,2.0,8.0
17.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,2.0,9.0
17.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,6.0,2.0,10.0
15.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,2.0,12.0
16.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,6.0,2.0,13.0
18.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,6.0,2.0,14.0
19.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,15.0
18.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,2.0,16.0
17.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,17.0
15.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,2.0,18.0
17.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,6.0,2.0,19.0
17.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,2.0,20.0
17.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,2.0,21.0
15.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,6.0,2.0,22.0
17.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,23.0
15.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,6.0,2.0,24.0
16.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,6.0,2.0,25.0
14.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,6.0,2.0,26.0
15.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,6.0,2.0,27.0
14.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,6.0,2.0,28.0
16.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,2.0,31.0
16.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,6.0,2.0,32.0
