IDADE,FX_ID,SEXO,cor,p2,p3a,p3b,p4,p5,p6,p7,p8,p9a,p9b,p9c,p9d,p9e,p9f,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,PARTIDO,ESCOLA,RENDAF,RENDA
23.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,6.0,2.0,3.0,2.0,2.0,2.0,350.0,1.0
23.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,6.0,2.0,1.0,2.0,13.0,1.0,550.0,2.0
29.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,13.0,1.0,875.0,3.0
31.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,6.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,6.0,4.0,6.0,1.0,1.0,2.0,2300.0,4.0
20.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,13.0,1.0,500.0,2.0
18.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,4.0,1.0,500.0,2.0
61.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,7.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,6.0,1.0,0.0,1.0,2.0,1.0,300.0,2.0
55.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,6.0,1.0,0.0,1.0,4.0,1.0,1000.0,3.0
40.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,7.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,2.0,3.0,2.0,13.0,1.0,1000.0,3.0
55.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,6.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,8.0,2.0,1.0,2.0,13.0,1.0,1500.0,4.0
65.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,0.0,1.0,3.0,2.0,4200.0,5.0
16.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,6.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,9.0,2.0,2.0,2.0,13.0,1.0,1600.0,3.0
58.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,99.0,3.0
37.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,1.0,0.0,1.0,13.0,1.0,400.0,2.0
16.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,7.0,1.0,8.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,13.0,1.0,99.0,7.0
16.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,13.0,2.0,600.0,3.0
39.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,8.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,0.0,2.0,2.0,2.0,600.0,2.0
32.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,0.0,2.0,4.0,1.0,350.0,2.0
33.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,11.0,1.0,8.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,3.0,1.0,13.0,1.0,300.0,2.0
28.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,13.0,1.0,2500.0,4.0
35.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,8.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,6.0,1.0,0.0,2.0,2.0,3.0,1200.0,3.0
27.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,550.0,2.0
42.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,6.0,1.0,0.0,1.0,2.0,2.0,1500.0,4.0
18.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,1.0,2.0,1200.0,4.0
43.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,9.0,2.0,700.0,3.0
46.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,0.0,2.0,12.0,1.0,1000.0,3.0
