SEXO,FX_IDADE,rend,inst,tipo,mora,porte,posse01,posse02,posse03,posse04,posse05,bens1,bens2,bens3,bens4,bens5,bens6,bens7,bens8,relig,munic,tv,radio,banh,auto,empr,asp,maq,freqa,p101,p102,p103,p2,p3,p401,p402,p403,p404,p405,p406,p407,p408,p409,p410,p501,p502,p503,p504,p505,p506,p507,p508,p509,p510,p601,p602,p603,p604,p605,p606,p6a,p7,p801,p802,p803,p9,p10,p11,p12,p13,p14,p1501,p1502,p1503,p1601,p1602,p1603,p1604,p1605,p1606,p1607,p1608,p1609,p1610,p1611,p1612,p1613,p1614,p1615,p1701,p1702,p1703,p1704,p1705,p1706,p1707,p1708,p1709,p1710,p1711,p1712,p1713,p1801,p1802,p1803,p1804,p1805,p1806,p1807,p1808,p1809,p1810,p1811,p1812,p1813,p1814,p1815,p1816,p1817,p19,p2001,p2002,p2003,p2004,p2005,p2006,p2101,p2102,p2201,p2202,p2203,p23a,p23b,p23c,p23d,p23e,p23f,p23g,p23h,p23i,p23j,p23k,p24,p25,p2601,p2602,p2603,p2701,p2702,p2703,p2704,p2705,p2706,p2707,p28,p2901,p2902,p2903,p2904,p2905,p2906,p2907,p2908,p2909,p3001,p3002,p3003,p3004,p3005,p3006,p3007,p3008,p3009,p3010,p3011,p3101,p3102,p3103,p32,p3301,p3302,p34,p35,p3601,p3602,p3603,p3604,p3605,p37,p38,p39,p40,p41,p42,quest
2.0,4.0,3.0,7.0,1.0,34.0,7.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,,2.0,2.0,,,,,5.0,998.0,,,3.0,305.0,1.0,2.0,3.0,9.0,8.0,4.0,12.0,13.0,10.0,11.0,11.0,10.0,6.0,9.0,2.0,1.0,3.0,7.0,8.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,1.0,1.0,103.0,8.0,1.0,1.0,1.0,4.0,302.0,,,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,999.0,4.0,5.0,1.0,5.0,5.0,3.0,3.0,5.0,9.0,7.0,8.0,1.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,98.0,1.0,997.0,,,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0,1.0,4.0,9.0,2.0,,,4.0,4.0,13.0,4.0,3.0,14.0,7.0,2.0,1.0,3.0,2.0,3.0,,1.0
2.0,3.0,4.0,4.0,1.0,12.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,2.0,,,,,2.0,204.0,,,3.0,104.0,1.0,3.0,8.0,2.0,6.0,9.0,10.0,14.0,13.0,4.0,11.0,10.0,1.0,5.0,7.0,3.0,2.0,9.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,1.0,1.0,101.0,3.0,1.0,1.0,1.0,6.0,203.0,201.0,302.0,,1.0,,,,,1.0,,1.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,999.0,5.0,3.0,1.0,1.0,5.0,5.0,3.0,2.0,8.0,7.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,5.0,4.0,1.0,1.0,1.0,4.0,1.0,999.0,,,2.0,5.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,4.0,5.0,4.0,6.0,2.0,4.0,2.0,3.0,4.0,2.0,1.0,,,2.0,,,4.0,4.0,11.0,14.0,16.0,15.0,7.0,2.0,1.0,3.0,2.0,2.0,,2.0
1.0,2.0,4.0,7.0,1.0,5.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,2.0,,,,,4.0,402.0,502.0,,1.0,401.0,1.0,10.0,12.0,9.0,2.0,3.0,13.0,8.0,11.0,6.0,2.0,1.0,3.0,11.0,5.0,9.0,10.0,6.0,8.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,2.0,1.0,1.0,599.0,4.0,1.0,1.0,1.0,1.0,105.0,302.0,201.0,,,,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,12.0,5.0,5.0,1.0,1.0,5.0,1.0,4.0,3.0,4.0,11.0,8.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,1.0,999.0,,,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,6.0,4.0,4.0,4.0,4.0,6.0,6.0,5.0,4.0,4.0,1.0,4.0,2.0,2.0,,,3.0,4.0,3.0,2.0,1.0,13.0,8.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0
1.0,5.0,7.0,4.0,1.0,39.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,2.0,,,5.0,2.0,4.0,401.0,,,2.0,204.0,3.0,6.0,2.0,8.0,5.0,1.0,99.0,99.0,99.0,99.0,11.0,3.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,2.0,2.0,2.0,1.0,2.0,2.0,,1.0,2.0,1.0,1.0,201.0,1.0,1.0,1.0,2.0,1.0,999.0,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,1.0,,,1.0,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,1.0,1.0,,,1.0,,,11.0,5.0,6.0,1.0,5.0,4.0,1.0,3.0,2.0,1.0,8.0,13.0,2.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,6.0,1.0,5.0,5.0,999.0,,,2.0,4.0,5.0,6.0,1.0,6.0,6.0,1.0,6.0,6.0,2.0,6.0,6.0,2.0,2.0,6.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,8.0,3.0,8.0,4.0,1.0,,,2.0,,,4.0,4.0,13.0,4.0,16.0,14.0,7.0,1.0,1.0,4.0,1.0,2.0,,4.0
2.0,4.0,1.0,7.0,1.0,11.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,3.0,6.0,5.0,6.0,4.0,,5.0,2.0,4.0,502.0,601.0,,2.0,399.0,13.0,10.0,1.0,9.0,12.0,3.0,2.0,4.0,11.0,14.0,8.0,6.0,3.0,11.0,2.0,10.0,1.0,5.0,9.0,7.0,2.0,2.0,2.0,1.0,2.0,2.0,,1.0,3.0,1.0,1.0,103.0,8.0,1.0,1.0,1.0,1.0,102.0,302.0,,,,,1.0,,,,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,11.0,5.0,1.0,5.0,5.0,5.0,1.0,3.0,5.0,7.0,8.0,13.0,4.0,2.0,4.0,2.0,1.0,5.0,5.0,4.0,1.0,5.0,5.0,1.0,1.0,246.0,,,5.0,5.0,4.0,2.0,1.0,5.0,1.0,1.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,6.0,4.0,6.0,6.0,4.0,4.0,1.0,4.0,9.0,2.0,,,3.0,3.0,7.0,13.0,10.0,18.0,14.0,3.0,1.0,3.0,2.0,1.0,3.0,5.0
1.0,1.0,1.0,9.0,1.0,24.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,6.0,4.0,4.0,8.0,6.0,5.0,2.0,4.0,101.0,106.0,402.0,1.0,399.0,9.0,12.0,6.0,13.0,8.0,2.0,1.0,3.0,10.0,11.0,8.0,1.0,3.0,11.0,2.0,5.0,7.0,6.0,10.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,,1.0,2.0,1.0,2.0,201.0,8.0,1.0,1.0,2.0,2.0,999.0,,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,999.0,5.0,1.0,1.0,6.0,6.0,6.0,3.0,5.0,8.0,,,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,999.0,,,5.0,5.0,5.0,6.0,1.0,6.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,8.0,4.0,2.0,2.0,2.0,4.0,7.0,3.0,8.0,6.0,1.0,4.0,,2.0,,,2.0,4.0,4.0,16.0,13.0,99.0,99.0,2.0,1.0,4.0,2.0,2.0,,6.0
1.0,3.0,2.0,7.0,1.0,30.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,4.0,,,2.0,4.0,402.0,210.0,,1.0,399.0,1.0,2.0,3.0,9.0,12.0,8.0,13.0,10.0,11.0,7.0,3.0,2.0,1.0,9.0,10.0,11.0,6.0,5.0,8.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,,1.0,2.0,1.0,1.0,310.0,1.0,1.0,1.0,1.0,2.0,302.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,21.0,5.0,1.0,1.0,5.0,5.0,4.0,5.0,4.0,10.0,2.0,9.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,1.0,246.0,,,5.0,5.0,1.0,5.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,6.0,2.0,3.0,4.0,6.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,9.0,1.0,4.0,1.0,1.0,3.0,3.0,4.0,7.0,18.0,10.0,11.0,13.0,2.0,1.0,3.0,1.0,1.0,2.0,7.0
2.0,2.0,1.0,10.0,1.0,6.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,4.0,4.0,5.0,6.0,4.0,6.0,5.0,2.0,,204.0,103.0,,2.0,104.0,12.0,1.0,3.0,2.0,8.0,9.0,6.0,10.0,13.0,11.0,1.0,11.0,8.0,4.0,3.0,5.0,2.0,9.0,10.0,7.0,1.0,2.0,2.0,2.0,2.0,2.0,,3.0,2.0,2.0,2.0,102.0,8.0,1.0,2.0,2.0,3.0,302.0,126.0,102.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,11.0,5.0,2.0,4.0,5.0,4.0,4.0,2.0,4.0,8.0,10.0,7.0,5.0,1.0,2.0,5.0,2.0,5.0,3.0,4.0,3.0,4.0,5.0,3.0,1.0,246.0,,,5.0,5.0,1.0,6.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,4.0,6.0,1.0,5.0,4.0,3.0,3.0,5.0,2.0,4.0,6.0,5.0,4.0,2.0,5.0,3.0,2.0,1.0,4.0,5.0,1.0,3.0,1.0,3.0,4.0,2.0,4.0,9.0,7.0,18.0,2.0,1.0,3.0,1.0,2.0,,8.0
2.0,5.0,1.0,10.0,1.0,40.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,4.0,,5.0,2.0,5.0,601.0,203.0,,3.0,999.0,1.0,2.0,3.0,9.0,12.0,13.0,4.0,10.0,8.0,7.0,3.0,1.0,2.0,5.0,11.0,8.0,4.0,6.0,7.0,10.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,102.0,8.0,1.0,1.0,2.0,1.0,326.0,303.0,203.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,11.0,5.0,1.0,5.0,5.0,4.0,4.0,3.0,2.0,4.0,1.0,3.0,5.0,6.0,6.0,2.0,2.0,5.0,4.0,2.0,6.0,4.0,2.0,2.0,1.0,997.0,997.0,,4.0,4.0,5.0,4.0,1.0,5.0,1.0,1.0,3.0,2.0,2.0,4.0,6.0,2.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,6.0,3.0,6.0,4.0,1.0,9.0,5.0,1.0,1.0,3.0,3.0,4.0,10.0,18.0,1.0,14.0,7.0,2.0,1.0,3.0,1.0,1.0,2.0,9.0
2.0,5.0,3.0,10.0,1.0,50.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,1.0,4.0,,,,,4.0,999.0,,,1.0,201.0,1.0,3.0,9.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5.0,2.0,1.0,7.0,9.0,11.0,99.0,99.0,99.0,99.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,1.0,1.0,999.0,,,,,3.0,999.0,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,999.0,5.0,1.0,1.0,5.0,4.0,1.0,4.0,5.0,4.0,2.0,10.0,1.0,1.0,1.0,5.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,999.0,,,5.0,5.0,6.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,6.0,2.0,2.0,6.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,,2.0,,,2.0,4.0,13.0,11.0,16.0,7.0,4.0,2.0,1.0,3.0,1.0,1.0,3.0,10.0
