IDADE,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2,P3,P4_1,P4_2,P4_3,P5,P6A,P6B,P6C,P6D,P6E,P6F,P6G,P7_1,P7_2,P7_3,P8A,P8B,P8C,P8D,P8E,P8F,P8G,P9_1,P9_2,P9_3,P10,P11A,P11B,P11C,P11D,P11E,RAÇA_COR,RELIGIAO,REND1,REND2,TIPO_COLETA,AMOSTRA,REGIAO,FATOR_POND,ID
51.0,2.0,14.0,2.0,4.0,2.0,98.0,1.0,1.0,5.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,98.0,2.0,2.0,2.0,2.0,2.0,1.0,16.0,5.0,4.0,4.0,2.0,5.0,1.752841666657136,150135156.0
84.0,1.0,16.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,8.0,5.0,7.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,0.3518806043781524,150135222.0
30.0,2.0,16.0,1.0,3.0,2.0,1.0,2.0,8.0,6.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,6.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,99.0,99.0,4.0,2.0,1.0,0.17434562397403658,150135242.0
23.0,1.0,15.0,1.0,4.0,2.0,2.0,1.0,9.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,8.0,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,4.0,4.0,2.0,3.0,1.2954651821676189,150135259.0
61.0,1.0,14.0,1.0,3.0,3.0,1.0,2.0,6.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,0.46449719069138334,150135571.0
33.0,1.0,13.0,2.0,3.0,2.0,98.0,98.0,99.0,,,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,,,98.0,99.0,99.0,99.0,99.0,99.0,1.0,99.0,6.0,4.0,4.0,2.0,4.0,1.4864645472621847,150135738.0
27.0,1.0,16.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,2.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,1.0,6.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,20.0,3.0,3.0,4.0,2.0,6.0,0.8567807037176491,150136050.0
49.0,1.0,15.0,1.0,2.0,3.0,2.0,2.0,9.0,4.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,99.0,2.0,1.0,3.0,98.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,2.0,2.0,4.0,2.0,7.0,1.1969686068286205,150136150.0
29.0,2.0,14.0,1.0,4.0,1.0,1.0,1.0,6.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,2.0,4.0,2.0,3.0,0.49826966996160305,150136180.0
56.0,2.0,16.0,1.0,3.0,2.0,1.0,1.0,8.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,7.0,8.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,15.0,3.0,3.0,4.0,2.0,7.0,2.050395591126415,150136329.0
59.0,1.0,16.0,1.0,3.0,1.0,1.0,1.0,6.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,,98.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,2.0,6.0,0.6753111534606094,150136481.0
59.0,1.0,16.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,5.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,15.0,3.0,2.0,4.0,2.0,1.0,0.3518806043781524,150137081.0
33.0,2.0,14.0,1.0,3.0,1.0,1.0,1.0,8.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,99.0,6.0,5.0,4.0,2.0,2.0,0.6008144880928722,150137605.0
65.0,1.0,16.0,1.0,1.0,3.0,98.0,2.0,5.0,4.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,,98.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,0.21372595453544366,150137609.0
24.0,2.0,16.0,2.0,4.0,2.0,1.0,1.0,9.0,1.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,10.0,98.0,4.0,4.0,2.0,3.0,0.6442724325426163,150137728.0
38.0,1.0,16.0,1.0,3.0,1.0,1.0,1.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,5.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,8.0,0.8150472140067643,150137769.0
45.0,1.0,16.0,1.0,4.0,2.0,1.0,2.0,5.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,7.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,17.0,2.0,2.0,4.0,2.0,8.0,1.3564019471295201,150138436.0
67.0,1.0,15.0,2.0,4.0,1.0,98.0,2.0,6.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,,,98.0,1.0,2.0,2.0,1.0,1.0,1.0,15.0,4.0,99.0,4.0,2.0,3.0,0.303432146628623,150138599.0
57.0,1.0,16.0,2.0,1.0,2.0,1.0,2.0,6.0,7.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,5.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,99.0,99.0,4.0,2.0,3.0,0.3391018220538222,150140607.0
32.0,2.0,14.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,8.0,3.0,7.0,2.0,99.0,99.0,99.0,99.0,99.0,1.0,99.0,99.0,99.0,4.0,2.0,4.0,1.1006113741505328,150141904.0
43.0,2.0,14.0,2.0,4.0,2.0,1.0,1.0,6.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,19.0,99.0,99.0,4.0,2.0,5.0,1.016196556259727,150142549.0
46.0,2.0,16.0,1.0,2.0,1.0,1.0,1.0,4.0,9.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,0.24032897758045202,150142602.0
36.0,1.0,16.0,1.0,1.0,2.0,1.0,1.0,9.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,5.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,19.0,98.0,99.0,4.0,2.0,8.0,0.9495976684393115,150143501.0
39.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,4.0,2.0,4.0,2.0,6.0,2.1667566486365595,150144598.0
62.0,1.0,14.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,4.0,1.232408384278861,150146368.0
61.0,1.0,16.0,1.0,2.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,98.0,3.0,2.0,3.0,1.0,1.0,1.0,18.0,3.0,3.0,4.0,2.0,8.0,0.8609419020027168,150148221.0
35.0,2.0,16.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,6.0,5.0,4.0,2.0,4.0,1.3976566858924644,150150521.0
56.0,2.0,16.0,2.0,2.0,2.0,1.0,1.0,9.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,98.0,1.0,4.0,2.0,6.0,1.494361125561761,150150579.0
61.0,1.0,14.0,1.0,3.0,1.0,1.0,1.0,4.0,6.0,5.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,8.0,2.0,2.0,1.0,4.0,1.0,1.0,3.0,1.0,4.0,3.0,4.0,2.0,7.0,1.2698632892630792,150152706.0
36.0,2.0,15.0,1.0,4.0,2.0,1.0,2.0,7.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,8.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,6.0,4.0,4.0,2.0,3.0,1.2215123591005064,150155600.0
45.0,2.0,14.0,2.0,2.0,2.0,1.0,1.0,6.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,98.0,2.0,1.0,1.0,1.0,1.0,1.0,19.0,98.0,6.0,4.0,2.0,5.0,1.6813353717024757,150156677.0
50.0,1.0,15.0,1.0,4.0,2.0,2.0,3.0,6.0,7.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,4.0,98.0,99.0,99.0,99.0,99.0,99.0,3.0,10.0,99.0,99.0,4.0,2.0,2.0,1.0964138192993704,150156977.0
36.0,2.0,16.0,1.0,4.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,98.0,99.0,4.0,2.0,6.0,0.9054750077779736,150160419.0
35.0,1.0,16.0,1.0,5.0,2.0,1.0,2.0,5.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,5.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,5.0,4.0,4.0,2.0,7.0,1.87790019778476,150161066.0
28.0,2.0,16.0,1.0,4.0,3.0,98.0,98.0,8.0,6.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,98.0,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,98.0,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,10.0,99.0,6.0,4.0,2.0,3.0,0.7975453840626782,150179561.0
56.0,1.0,14.0,1.0,5.0,2.0,1.0,1.0,1.0,9.0,4.0,3.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,4.0,98.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,3.0,4.0,2.0,1.0,0.4243929418999913,150190367.0
