IDADE,FX_ID,SEXO,EL01,VP01,VP02,VP03,VP04,VP05,CONF01A,CONF01B,CONF01C,CONF01D,CONF01E,STF01,CN01,CC01A,CC01B,CC01C,CC01D,CC01E,CC01F,TE01,VA01_1,VA01_2,VA01_3,RACA,RELIGIAO,CLASSE,REND1,REND2,ALFABETIZACAO,ESCOLARIDADE,OCUPACAO,REGIAO,TIPO_COLETA,FATOR_POND,DATA_ENTREVISTA,TELEFONE_FIXO,FILTRO1,FILTRO2,ID,Nquest
22.0,2.0,2.0,99.0,2.0,,99.0,,,3.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,,9.0,13.0,2.0,3.0,1.0,5.0,6.0,4.0,1.0,14.0,1.0,3.0,1.0,1.216129,2021-09-18,1.0,1.0,1.0,157244967.0,1.0
21.0,2.0,2.0,2.0,4.0,3.0,,,,99.0,99.0,99.0,99.0,99.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,,11.0,5.0,4.0,1.0,1.0,2.0,6.0,3.0,1.0,16.0,1.0,4.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157245414.0,2.0
25.0,3.0,1.0,1.0,2.0,,2.0,,,2.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,4.0,4.0,2.0,3.0,2.0,,11.0,9.0,10.0,3.0,2.0,6.0,5.0,4.0,1.0,14.0,2.0,3.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157246653.0,3.0
33.0,3.0,1.0,3.0,1.0,,,,,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,,2.0,4.0,7.0,1.0,15.0,5.0,5.0,5.0,1.0,15.0,1.0,3.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157246993.0,4.0
27.0,3.0,2.0,2.0,2.0,,2.0,,,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,,10.0,9.0,5.0,3.0,1.0,3.0,4.0,3.0,1.0,16.0,1.0,3.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157247290.0,5.0
24.0,2.0,2.0,99.0,2.0,,99.0,,,99.0,99.0,99.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,,2.0,9.0,5.0,1.0,1.0,5.0,6.0,6.0,1.0,13.0,1.0,4.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157247468.0,6.0
27.0,3.0,2.0,1.0,2.0,,2.0,,,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,,9.0,12.0,5.0,3.0,10.0,2.0,4.0,3.0,1.0,16.0,1.0,3.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157247511.0,7.0
34.0,3.0,2.0,2.0,3.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,,9.0,4.0,11.0,2.0,11.0,3.0,5.0,4.0,1.0,14.0,1.0,3.0,1.0,1.1785714,2021-09-18,2.0,1.0,1.0,157247512.0,8.0
20.0,2.0,1.0,2.0,1.0,,,,,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,,9.0,2.0,7.0,3.0,11.0,5.0,6.0,5.0,1.0,13.0,1.0,3.0,1.0,1.216129,2021-09-18,2.0,1.0,1.0,157247685.0,9.0
17.0,1.0,1.0,2.0,4.0,4.0,,,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,14.0,2.0,3.0,1.0,0.412,2021-09-18,2.0,2.0,,157247890.0,10.0
