IDADE,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2,P3,P4A,P4B,P4C,P4D,P4E,P4F,P4G,P4H,P5_1,P5_2,P5_3,P6_1,P6_2,P6_3,P6_4,P6_5,P6_6,P6_7,P6_8,P6_9,P6_10,P6_11,P6_12,P6_13,P6_98,P7,P8_1,P8_2,P8_3,P_ORIENT,P_IDENT,RACA_COR,RELIGIAO,REND1,REND2,REGIAO,TIPO_COLETA,AMOSTRA,FATOR_POND
29.0,2.0,13.0,2.0,6.0,6.0,2.0,3.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,99.0,99.0,3.0,99.0,99.0,99.0,1.0,4.0,2.0,0.3410727211813388
27.0,1.0,14.0,2.0,6.0,10.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,99.0,99.0,3.0,99.0,5.0,5.0,7.0,4.0,2.0,1.8634055450023892
30.0,1.0,15.0,1.0,3.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,8.0,11.0,3.0,,,,,,,,,,,,,,99.0,6.0,5.0,3.0,99.0,2.0,3.0,99.0,99.0,99.0,5.0,4.0,2.0,1.2932562647913095
33.0,2.0,14.0,2.0,5.0,99.0,99.0,99.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,99.0,1.0,3.0,99.0,6.0,6.0,7.0,4.0,2.0,0.7266083198201032
27.0,1.0,14.0,1.0,4.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,99.0,99.0,3.0,99.0,99.0,99.0,7.0,4.0,2.0,2.0401176614912244
31.0,2.0,11.0,1.0,5.0,10.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,5.0,1.0,2.0,4.0,11.0,,,,,,,,,,,,1.0,1.0,5.0,2.0,3.0,1.0,3.0,99.0,99.0,99.0,7.0,4.0,2.0,1.461095084394307
33.0,2.0,14.0,1.0,3.0,10.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,9.0,3.0,,,,,,,,,,,,,,1.0,1.0,6.0,5.0,1.0,1.0,3.0,99.0,6.0,5.0,2.0,4.0,2.0,0.6008144880928722
38.0,2.0,14.0,2.0,5.0,4.0,99.0,99.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,97.0,,,,,,,,,,,,,,3.0,99.0,,,1.0,1.0,3.0,99.0,6.0,6.0,6.0,4.0,2.0,0.6661485184960214
50.0,1.0,14.0,1.0,6.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,2.0,3.0,99.0,6.0,99.0,7.0,4.0,2.0,1.1970536397765854
23.0,1.0,14.0,1.0,5.0,99.0,99.0,99.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,99.0,,,,,,,,,,,,,,3.0,99.0,,,1.0,2.0,3.0,99.0,5.0,99.0,3.0,4.0,2.0,2.2249658703437287
18.0,2.0,14.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,9.0,2.0,3.0,,,,,,,,,,,,,3.0,2.0,4.0,1.0,1.0,1.0,3.0,99.0,6.0,5.0,4.0,4.0,2.0,0.7678609025531613
19.0,1.0,14.0,2.0,6.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,10.0,9.0,5.0,6.0,7.0,,,,,,,,,,,,,3.0,6.0,2.0,1.0,1.0,2.0,3.0,99.0,99.0,5.0,8.0,4.0,2.0,1.358217969549446
18.0,2.0,14.0,2.0,6.0,10.0,2.0,1.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,8.0,1.0,5.0,1.0,3.0,5.0,7.0,8.0,,,,,,,,,,99.0,1.0,2.0,4.0,1.0,1.0,3.0,99.0,99.0,99.0,4.0,4.0,2.0,0.8912425353957061
45.0,1.0,14.0,1.0,3.0,5.0,99.0,99.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,1.0,2.0,3.0,,,,,,,,,,,,,,3.0,3.0,2.0,1.0,1.0,2.0,3.0,99.0,5.0,4.0,7.0,4.0,2.0,1.1287953202922736
52.0,1.0,11.0,1.0,4.0,8.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,99.0,,,97.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,2.0,3.0,99.0,99.0,99.0,5.0,4.0,2.0,0.8987237139018643
25.0,1.0,11.0,1.0,4.0,3.0,99.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,1.0,3.0,5.0,3.0,,,,,,,,,,,,,,99.0,4.0,1.0,,1.0,2.0,3.0,99.0,6.0,5.0,1.0,4.0,1.0,0.20882167107504152
45.0,1.0,11.0,1.0,5.0,8.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,10.0,3.0,6.0,1.0,,,,,,,,,,,,,,3.0,6.0,,,1.0,2.0,3.0,99.0,6.0,6.0,4.0,4.0,1.0,1.0429272709382327
16.0,1.0,11.0,2.0,5.0,9.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,,5.0,,,,,,,,,,,,,,3.0,2.0,1.0,3.0,1.0,2.0,3.0,99.0,98.0,6.0,4.0,4.0,1.0,1.6329672112863596
19.0,1.0,2.0,2.0,4.0,10.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5.0,,,1.0,96.0,,,,,,,,,,,,,99.0,99.0,,,99.0,2.0,2.0,99.0,98.0,6.0,7.0,4.0,2.0,1.0256798999310854
69.0,2.0,9.0,2.0,5.0,4.0,2.0,2.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,9.0,6.0,1.0,10.0,96.0,,,,,,,,,,,,1.0,1.0,5.0,4.0,99.0,1.0,2.0,99.0,98.0,1.0,4.0,4.0,2.0,2.8268977825896995
35.0,2.0,16.0,1.0,5.0,8.0,3.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,6.0,8.0,1.0,1.0,2.0,7.0,,,,,,,,,,,,3.0,1.0,2.0,3.0,2.0,1.0,2.0,99.0,2.0,2.0,5.0,4.0,2.0,0.8647612822809605
17.0,1.0,11.0,1.0,5.0,10.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,4.0,6.0,5.0,11.0,1.0,2.0,3.0,4.0,5.0,7.0,11.0,13.0,,,,,,,1.0,3.0,1.0,2.0,2.0,2.0,2.0,99.0,5.0,5.0,3.0,4.0,1.0,1.7594877351812175
46.0,2.0,14.0,2.0,6.0,10.0,2.0,1.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,6.0,1.0,1.0,6.0,,,,,,,,,,,,,3.0,2.0,1.0,,1.0,1.0,2.0,99.0,98.0,6.0,6.0,4.0,2.0,1.100037117020541
56.0,1.0,11.0,1.0,6.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,99.0,2.0,99.0,99.0,99.0,5.0,4.0,1.0,0.9434853467136329
33.0,1.0,13.0,2.0,3.0,8.0,3.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,99.0,2.0,1.0,99.0,6.0,4.0,4.0,4.0,2.0,1.4864645472621847
32.0,1.0,16.0,1.0,1.0,6.0,2.0,3.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,99.0,99.0,1.0,99.0,99.0,99.0,8.0,4.0,2.0,0.752708724181372
22.0,2.0,11.0,2.0,5.0,8.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,99.0,1.0,1.0,99.0,5.0,99.0,3.0,4.0,2.0,0.4267315581777851
25.0,2.0,14.0,2.0,5.0,99.0,99.0,99.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,99.0,99.0,1.0,99.0,99.0,99.0,4.0,4.0,2.0,0.6982870676109456
29.0,1.0,14.0,2.0,5.0,10.0,2.0,2.0,1.0,99.0,1.0,2.0,99.0,99.0,1.0,99.0,99.0,,,4.0,5.0,6.0,7.0,8.0,9.0,,,,,,,,,3.0,99.0,,,99.0,99.0,1.0,99.0,1.0,1.0,5.0,4.0,2.0,1.245815715038125
23.0,1.0,15.0,2.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,99.0,99.0,1.0,99.0,99.0,3.0,6.0,4.0,2.0,1.8350115136985343
32.0,2.0,16.0,2.0,3.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,99.0,99.0,,,99.0,1.0,1.0,99.0,99.0,99.0,1.0,4.0,2.0,0.13579911197157818
43.0,1.0,14.0,1.0,2.0,6.0,99.0,3.0,2.0,4.0,2.0,2.0,99.0,2.0,2.0,2.0,6.0,,,99.0,,,,,,,,,,,,,,3.0,99.0,,,5.0,96.0,1.0,99.0,4.0,3.0,3.0,4.0,2.0,1.126367959103252
30.0,1.0,16.0,1.0,4.0,8.0,99.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,,,1.0,3.0,5.0,,,,,,,,,,,,3.0,97.0,,,3.0,2.0,1.0,99.0,4.0,4.0,6.0,4.0,2.0,0.8932191292350172
23.0,2.0,14.0,1.0,4.0,99.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,99.0,,,99.0,,,,,,,,,,,,,,3.0,99.0,,,3.0,1.0,1.0,99.0,6.0,4.0,1.0,4.0,2.0,0.27471616952930034
32.0,2.0,14.0,1.0,4.0,10.0,1.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,99.0,,,,,,,,,,,,,,3.0,99.0,,,1.0,1.0,1.0,99.0,99.0,99.0,4.0,4.0,2.0,1.1006113741505328
21.0,1.0,14.0,2.0,2.0,7.0,99.0,99.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,99.0,,,97.0,,,,,,,,,,,,,,99.0,99.0,,,1.0,2.0,1.0,99.0,98.0,4.0,7.0,4.0,2.0,1.6098044224624561
24.0,2.0,14.0,1.0,4.0,7.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,6.0,2.0,5.0,3.0,4.0,8.0,9.0,,,,,,,,,,,99.0,4.0,2.0,5.0,1.0,1.0,1.0,99.0,98.0,99.0,5.0,4.0,2.0,0.8360887398843153
