IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE_SOCIAL,P1A,P1B,P1C,P1D,P1E,P1F,P1G,P1H,P2_1,P2_2,p2_3,P3_1,P3_2,P3_3,P3_4,P3_5,P3_6,P3_7,P4_1,P4_2,p4_3,P5A,P5B,P5C,P5D,P5E,P5F,P5G,P5H,P5I,P6_1,P6_2,P6_3,P7A,P7B,P7C,P7D,RACA,RELIGIAO,RENDA1,RENDA2,REGIAO,TIPO_COLETA,AMOSTRA,FATOR_POND,ID
41.0,3.0,2.0,16.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,4.0,7.0,,,,,,6.0,,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,6.0,5.0,1.0,1.0,1.0,1.0,2.0,20.0,1.0,1.0,4.0,4.0,1.0,1.1448284811567786,155603126.0
35.0,3.0,1.0,16.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,8.0,,,4.0,,,,,,,1.0,,,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,5.0,6.0,3.0,1.0,1.0,1.0,1.0,5.0,20.0,1.0,1.0,3.0,4.0,2.0,1.055441307629659,155606247.0
16.0,1.0,1.0,10.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,2.0,7.0,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,99.0,,1.0,1.0,1.0,1.0,1.0,12.0,98.0,6.0,7.0,4.0,1.0,2.060889456086467,155621560.0
63.0,5.0,1.0,15.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,8.0,9.0,1.0,,,,,,,6.0,,,2.0,4.0,99.0,2.0,2.0,3.0,4.0,3.0,2.0,7.0,3.0,6.0,1.0,1.0,99.0,1.0,1.0,19.0,6.0,6.0,7.0,4.0,2.0,1.0671179040662064,155621599.0
36.0,3.0,1.0,15.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,9.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,3.0,4.0,2.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,5.0,4.0,4.0,4.0,2.0,2.596484900593543,155621632.0
62.0,5.0,1.0,11.0,2.0,4.0,2.0,99.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,7.0,1.0,3.0,6.0,7.0,,,,3.0,,,3.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,6.0,5.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,2.0,1.4234978629249504,155621749.0
57.0,5.0,2.0,14.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,8.0,1.0,2.0,7.0,,,,,3.0,5.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,15.0,4.0,4.0,6.0,4.0,2.0,1.3299334180110536,155622042.0
43.0,3.0,2.0,14.0,1.0,4.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,7.0,2.0,5.0,1.0,3.0,,,,,,2.0,,,2.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,7.0,3.0,3.0,1.0,1.0,1.0,1.0,20.0,98.0,5.0,4.0,4.0,2.0,0.8603775880059177,155622120.0
60.0,5.0,2.0,16.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,9.0,1.0,5.0,1.0,2.0,4.0,5.0,,,,4.0,6.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,5.0,7.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,6.0,4.0,2.0,1.15020053335078,155622137.0
17.0,1.0,2.0,13.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,7.0,2.0,2.0,4.0,6.0,,,,,4.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,5.0,7.0,1.0,1.0,2.0,99.0,2.0,16.0,6.0,5.0,6.0,4.0,1.0,0.4077192116137209,155622274.0
52.0,4.0,1.0,14.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,7.0,3.0,5.0,7.0,,,,,4.0,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,2.0,0.45288351840753477,155622304.0
26.0,2.0,2.0,16.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,19.0,5.0,4.0,6.0,4.0,2.0,0.9281371149105664,155622623.0
46.0,4.0,2.0,16.0,1.0,4.0,1.0,1.0,1.0,99.0,1.0,2.0,1.0,1.0,5.0,,,6.0,,,,,,,3.0,,,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,7.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,16.0,4.0,4.0,4.0,4.0,2.0,0.9957987593839684,155622679.0
41.0,3.0,1.0,14.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,8.0,3.0,2.0,3.0,6.0,,,,,6.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,7.0,3.0,5.0,1.0,1.0,1.0,1.0,3.0,19.0,98.0,6.0,4.0,4.0,2.0,5.292872366726756,155622696.0
