IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2_1,P2_2,P2_3,P3_1,P3_2,P3_3,P4,P5_1,P5_2,P5_3,P5_4,P5_5,P5_6,P6_1,P6_2,P6_3,RACA_COR,RELIGIAO,RENDA1,RENDA2,REGIAO,FATOR_POND,ID,TIPO_COLETA,AMOSTRA
65.0,5.0,2.0,16.0,2.0,4.0,97.0,,,,,,,99.0,97.0,97.0,97.0,97.0,97.0,97.0,99.0,,,1.0,1.0,99.0,99.0,8.0,0.66,177975421.0,4.0,2.0
22.0,1.0,1.0,15.0,2.0,3.0,5.0,9.0,12.0,2.0,8.0,12.0,4.0,,,,,,,,4.0,1.0,8.0,3.0,3.0,6.0,6.0,5.0,1.61,177975688.0,4.0,2.0
23.0,1.0,2.0,14.0,1.0,4.0,3.0,7.0,9.0,10.0,12.0,8.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,1.0,5.0,1.0,10.0,5.0,4.0,5.0,1.32,177975705.0,4.0,2.0
70.0,5.0,2.0,16.0,2.0,4.0,3.0,7.0,3.0,2.0,99.0,,,4.0,2.0,2.0,1.0,1.0,2.0,97.0,2.0,7.0,1.0,1.0,20.0,1.0,1.0,4.0,1.45,177975805.0,4.0,2.0
62.0,5.0,2.0,14.0,2.0,4.0,97.0,,,,,,,4.0,97.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,6.0,1.0,1.0,4.0,4.0,1.0,0.48,177975913.0,4.0,2.0
60.0,5.0,1.0,13.0,1.0,4.0,3.0,9.0,7.0,3.0,12.0,3.0,8.0,,,,,,,,4.0,10.0,6.0,1.0,15.0,99.0,99.0,3.0,0.69,177976225.0,4.0,2.0
23.0,1.0,2.0,14.0,2.0,4.0,97.0,,,,,,,99.0,2.0,97.0,97.0,97.0,1.0,97.0,99.0,,,4.0,99.0,6.0,99.0,3.0,0.61,177976296.0,4.0,1.0
23.0,1.0,2.0,16.0,1.0,3.0,3.0,7.0,13.0,2.0,3.0,5.0,12.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,9.0,6.0,5.0,3.0,11.0,5.0,4.0,7.0,1.3,177976328.0,4.0,2.0
63.0,5.0,2.0,16.0,2.0,4.0,97.0,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0,7.0,2.0,20.0,4.0,4.0,7.0,1.3,177976355.0,4.0,2.0
61.0,5.0,2.0,15.0,1.0,4.0,1.0,12.0,7.0,6.0,99.0,,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,6.0,5.0,3.0,1.0,4.0,4.0,7.0,1.42,177976438.0,4.0,2.0
69.0,5.0,2.0,16.0,2.0,4.0,3.0,7.0,5.0,2.0,99.0,,,4.0,2.0,2.0,1.0,1.0,2.0,2.0,9.0,7.0,5.0,1.0,1.0,5.0,5.0,4.0,1.45,177976439.0,4.0,2.0
62.0,5.0,2.0,12.0,2.0,4.0,3.0,6.0,4.0,10.0,8.0,6.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,10.0,2.0,1.0,1.0,5.0,5.0,8.0,0.73,177976596.0,4.0,2.0
23.0,1.0,2.0,16.0,1.0,3.0,5.0,10.0,2.0,,5.0,8.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,7.0,6.0,2.0,3.0,1.0,6.0,4.0,3.0,1.24,177976877.0,4.0,2.0
19.0,1.0,2.0,14.0,1.0,3.0,3.0,99.0,,,99.0,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,,1.0,6.0,1.0,1.0,5.0,1.99,177976896.0,4.0,2.0
60.0,5.0,2.0,15.0,2.0,4.0,5.0,2.0,9.0,7.0,99.0,,,99.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,,1.0,99.0,99.0,99.0,7.0,1.3,177977498.0,4.0,1.0
60.0,5.0,1.0,15.0,1.0,4.0,97.0,,,,,,,,,,,,,,1.0,7.0,4.0,1.0,1.0,5.0,5.0,1.0,0.03,177977577.0,4.0,2.0
68.0,5.0,2.0,15.0,2.0,4.0,5.0,2.0,7.0,9.0,8.0,5.0,9.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,5.0,2.0,1.0,3.0,5.0,5.0,3.0,1.19,177977629.0,4.0,2.0
63.0,5.0,2.0,11.0,2.0,4.0,5.0,7.0,2.0,1.0,5.0,8.0,13.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,10.0,2.0,1.0,19.0,5.0,4.0,1.0,0.55,177977984.0,4.0,2.0
69.0,5.0,1.0,16.0,2.0,4.0,97.0,,,,,,,,,,,,,,6.0,2.0,7.0,1.0,1.0,6.0,6.0,2.0,0.46,177978305.0,4.0,2.0
22.0,1.0,2.0,14.0,1.0,4.0,1.0,2.0,9.0,7.0,8.0,12.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,4.0,5.0,3.0,19.0,6.0,6.0,7.0,1.14,177979003.0,4.0,2.0
63.0,5.0,2.0,15.0,1.0,4.0,3.0,10.0,12.0,3.0,8.0,,,1.0,2.0,2.0,97.0,2.0,97.0,1.0,1.0,6.0,7.0,1.0,1.0,98.0,5.0,6.0,1.02,177979890.0,4.0,2.0
65.0,5.0,2.0,15.0,2.0,4.0,3.0,12.0,7.0,13.0,99.0,,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,8.0,1.0,1.0,5.0,5.0,8.0,0.66,177980129.0,4.0,1.0
63.0,5.0,1.0,14.0,1.0,4.0,3.0,7.0,2.0,1.0,12.0,3.0,,,,,,,,,5.0,4.0,,1.0,19.0,5.0,4.0,6.0,0.52,177980671.0,4.0,2.0
60.0,5.0,2.0,14.0,2.0,4.0,3.0,2.0,7.0,6.0,8.0,5.0,12.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,5.0,2.0,1.0,1.0,5.0,5.0,3.0,0.88,177980771.0,4.0,1.0
20.0,1.0,2.0,14.0,1.0,3.0,3.0,7.0,2.0,1.0,8.0,13.0,12.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,10.0,7.0,1.0,19.0,6.0,4.0,6.0,1.05,177981831.0,4.0,2.0
24.0,1.0,1.0,14.0,1.0,4.0,96.0,,,,,,,,,,,,,,2.0,10.0,7.0,1.0,20.0,6.0,5.0,6.0,5.0,177983274.0,4.0,2.0
21.0,1.0,2.0,14.0,1.0,4.0,5.0,99.0,,,99.0,,,99.0,97.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,1.0,2.0,11.0,3.0,1.0,3.0,0.61,177983288.0,4.0,1.0
21.0,1.0,2.0,15.0,1.0,3.0,5.0,2.0,3.0,12.0,3.0,8.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,6.0,4.0,2.0,13.0,5.0,4.0,5.0,2.9,177983373.0,4.0,2.0
64.0,5.0,2.0,15.0,1.0,4.0,3.0,7.0,9.0,12.0,8.0,4.0,12.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,6.0,9.0,3.0,1.0,4.0,3.0,1.0,0.48,177983473.0,4.0,2.0
60.0,5.0,2.0,14.0,1.0,4.0,97.0,,,,,,,1.0,1.0,97.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,20.0,4.0,4.0,6.0,1.41,177984414.0,4.0,2.0
64.0,5.0,1.0,14.0,1.0,4.0,97.0,,,,,,,,,,,,,,7.0,6.0,2.0,1.0,7.0,4.0,4.0,4.0,2.47,177985088.0,4.0,2.0
23.0,1.0,2.0,14.0,2.0,3.0,1.0,2.0,7.0,3.0,2.0,,,1.0,1.0,2.0,2.0,1.0,2.0,99.0,3.0,10.0,7.0,3.0,20.0,6.0,6.0,5.0,1.13,177985153.0,4.0,2.0
64.0,5.0,1.0,16.0,1.0,4.0,5.0,6.0,10.0,13.0,6.0,10.0,13.0,,,,,,,,4.0,6.0,1.0,1.0,1.0,5.0,5.0,1.0,0.03,177985324.0,4.0,2.0
61.0,5.0,1.0,15.0,1.0,4.0,5.0,99.0,,,99.0,,,,,,,,,,2.0,5.0,8.0,3.0,1.0,4.0,4.0,2.0,0.53,177985731.0,4.0,2.0
20.0,1.0,2.0,15.0,1.0,4.0,5.0,11.0,7.0,9.0,9.0,6.0,7.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,8.0,6.0,3.0,1.0,99.0,99.0,7.0,0.86,177986122.0,4.0,1.0
63.0,5.0,2.0,15.0,2.0,4.0,3.0,7.0,11.0,12.0,5.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,10.0,9.0,1.0,1.0,4.0,4.0,4.0,1.45,177986292.0,4.0,2.0
73.0,5.0,2.0,12.0,2.0,4.0,3.0,7.0,11.0,3.0,8.0,5.0,3.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,10.0,7.0,1.0,1.0,5.0,4.0,4.0,0.82,177986462.0,4.0,2.0
61.0,5.0,2.0,14.0,1.0,3.0,1.0,2.0,7.0,1.0,3.0,5.0,8.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,7.0,6.0,3.0,1.0,99.0,99.0,4.0,1.29,177986778.0,4.0,2.0
20.0,1.0,2.0,15.0,1.0,4.0,3.0,7.0,13.0,12.0,3.0,8.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,7.0,10.0,1.0,11.0,6.0,4.0,5.0,1.93,177987623.0,4.0,2.0
21.0,1.0,2.0,14.0,1.0,4.0,5.0,1.0,7.0,13.0,7.0,12.0,5.0,3.0,1.0,2.0,1.0,1.0,99.0,2.0,6.0,2.0,7.0,1.0,18.0,6.0,4.0,4.0,1.12,177987695.0,4.0,1.0
73.0,5.0,2.0,15.0,2.0,4.0,97.0,,,,,,,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,3.0,1.0,3.0,6.0,4.0,4.0,1.45,177988094.0,4.0,1.0
60.0,5.0,2.0,15.0,1.0,4.0,5.0,7.0,2.0,5.0,12.0,8.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,7.0,3.0,15.0,5.0,5.0,1.0,0.48,177988189.0,4.0,2.0
20.0,1.0,1.0,15.0,2.0,4.0,5.0,12.0,7.0,3.0,13.0,1.0,5.0,,,,,,,,9.0,1.0,2.0,1.0,12.0,98.0,5.0,2.0,0.79,177988459.0,4.0,2.0
21.0,1.0,2.0,14.0,2.0,4.0,3.0,7.0,9.0,2.0,3.0,10.0,12.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,7.0,4.0,1.0,1.0,98.0,4.0,7.0,1.04,177989436.0,4.0,2.0
18.0,1.0,1.0,16.0,2.0,1.0,5.0,99.0,,,99.0,,,,,,,,,,99.0,,,3.0,99.0,1.0,4.0,5.0,1.31,177989968.0,4.0,2.0
24.0,1.0,2.0,15.0,1.0,3.0,96.0,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,9.0,10.0,1.0,19.0,99.0,99.0,6.0,0.76,177990007.0,4.0,1.0
23.0,1.0,1.0,15.0,2.0,4.0,3.0,7.0,2.0,11.0,5.0,1.0,12.0,,,,,,,,6.0,8.0,9.0,1.0,20.0,6.0,5.0,2.0,0.79,177991121.0,4.0,1.0
74.0,5.0,2.0,14.0,2.0,4.0,1.0,7.0,11.0,2.0,99.0,,,99.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,9.0,3.0,3.0,4.0,98.0,4.0,6.0,0.9,177991503.0,4.0,1.0
17.0,1.0,1.0,13.0,2.0,3.0,5.0,7.0,2.0,9.0,8.0,12.0,3.0,,,,,,,,10.0,5.0,6.0,3.0,11.0,98.0,6.0,5.0,2.98,177992409.0,4.0,2.0
73.0,5.0,2.0,14.0,2.0,4.0,5.0,13.0,2.0,7.0,3.0,8.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,10.0,7.0,1.0,16.0,5.0,99.0,4.0,0.82,177992471.0,4.0,2.0
61.0,5.0,2.0,16.0,2.0,4.0,3.0,2.0,7.0,3.0,99.0,,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,5.0,9.0,1.0,1.0,4.0,4.0,6.0,0.65,177993467.0,4.0,2.0
64.0,5.0,2.0,14.0,1.0,3.0,97.0,,,,,,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,2.0,4.0,1.0,16.0,4.0,4.0,8.0,1.21,178024467.0,4.0,2.0
23.0,1.0,1.0,16.0,1.0,4.0,5.0,7.0,11.0,2.0,8.0,3.0,5.0,,,,,,,,1.0,8.0,6.0,1.0,1.0,5.0,3.0,4.0,1.92,178025950.0,4.0,2.0
65.0,5.0,1.0,16.0,1.0,4.0,5.0,2.0,7.0,5.0,8.0,3.0,12.0,,,,,,,,9.0,2.0,10.0,1.0,15.0,4.0,4.0,3.0,0.36,178029198.0,4.0,2.0
24.0,1.0,2.0,15.0,1.0,4.0,5.0,3.0,7.0,13.0,5.0,8.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,10.0,7.0,1.0,19.0,5.0,4.0,7.0,0.86,178033878.0,4.0,2.0
59.0,4.0,2.0,14.0,2.0,4.0,5.0,2.0,12.0,10.0,3.0,11.0,6.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,1.0,1.0,1.0,99.0,6.0,4.0,1.62,178035698.0,4.0,1.0
53.0,4.0,1.0,14.0,1.0,4.0,97.0,,,,,,,,,,,,,,5.0,8.0,10.0,4.0,19.0,6.0,6.0,4.0,1.24,178035745.0,4.0,2.0
41.0,3.0,2.0,16.0,1.0,4.0,1.0,2.0,1.0,12.0,3.0,8.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,7.0,5.0,2.0,1.0,4.0,2.0,8.0,0.63,178035872.0,4.0,2.0
26.0,2.0,1.0,16.0,1.0,4.0,3.0,7.0,2.0,1.0,2.0,3.0,12.0,,,,,,,,7.0,2.0,9.0,3.0,19.0,5.0,4.0,7.0,1.56,178035896.0,4.0,2.0
45.0,4.0,2.0,14.0,1.0,4.0,5.0,7.0,2.0,8.0,8.0,4.0,13.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,6.0,7.0,8.0,1.0,99.0,6.0,5.0,2.0,0.45,178035907.0,4.0,2.0
36.0,3.0,2.0,16.0,1.0,4.0,5.0,7.0,12.0,1.0,8.0,2.0,5.0,4.0,1.0,2.0,97.0,97.0,2.0,2.0,3.0,10.0,6.0,3.0,1.0,5.0,4.0,8.0,0.63,178035920.0,4.0,2.0
55.0,4.0,1.0,16.0,1.0,4.0,97.0,,,,,,,,,,,,,,97.0,,,3.0,3.0,4.0,4.0,6.0,0.88,178035922.0,4.0,2.0
57.0,4.0,1.0,15.0,1.0,4.0,5.0,4.0,9.0,,99.0,,,,,,,,,,2.0,10.0,7.0,3.0,16.0,5.0,5.0,6.0,0.88,178035930.0,4.0,2.0
49.0,4.0,2.0,14.0,1.0,4.0,96.0,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,7.0,2.0,2.0,1.0,99.0,99.0,3.0,0.58,178036038.0,4.0,2.0
30.0,2.0,1.0,16.0,1.0,4.0,3.0,11.0,1.0,13.0,13.0,6.0,9.0,,,,,,,,10.0,4.0,2.0,1.0,16.0,6.0,6.0,6.0,0.98,178036067.0,4.0,2.0
48.0,4.0,2.0,14.0,1.0,4.0,3.0,7.0,12.0,2.0,99.0,,,1.0,1.0,2.0,2.0,97.0,2.0,2.0,6.0,7.0,2.0,4.0,19.0,4.0,4.0,2.0,0.45,178036086.0,4.0,2.0
44.0,3.0,1.0,14.0,1.0,4.0,5.0,99.0,,,8.0,12.0,7.0,,,,,,,,3.0,1.0,7.0,1.0,11.0,6.0,5.0,2.0,1.23,178036320.0,4.0,2.0
31.0,2.0,2.0,16.0,1.0,4.0,5.0,7.0,12.0,13.0,99.0,,,1.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,7.0,3.0,1.0,5.0,4.0,2.0,0.49,178036360.0,4.0,2.0
29.0,2.0,2.0,16.0,1.0,4.0,97.0,,,,,,,99.0,97.0,97.0,97.0,97.0,97.0,97.0,99.0,,,3.0,99.0,5.0,5.0,3.0,0.54,178036389.0,4.0,1.0
46.0,4.0,1.0,16.0,1.0,4.0,5.0,99.0,,,7.0,1.0,9.0,,,,,,,,2.0,7.0,10.0,2.0,16.0,99.0,99.0,5.0,0.78,178036404.0,4.0,1.0
29.0,2.0,2.0,15.0,1.0,4.0,3.0,7.0,10.0,4.0,8.0,13.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,2.0,3.0,1.0,99.0,2.0,3.0,0.54,178036440.0,4.0,2.0
47.0,4.0,1.0,16.0,1.0,4.0,97.0,,,,,,,,,,,,,,2.0,10.0,7.0,1.0,16.0,3.0,99.0,1.0,0.12,178036538.0,4.0,2.0
39.0,3.0,1.0,15.0,2.0,4.0,3.0,2.0,7.0,3.0,13.0,1.0,12.0,,,,,,,,6.0,7.0,1.0,1.0,19.0,99.0,99.0,8.0,0.91,178036605.0,4.0,2.0
32.0,2.0,1.0,14.0,1.0,4.0,5.0,2.0,10.0,,8.0,,,,,,,,,,6.0,7.0,10.0,1.0,1.0,98.0,4.0,5.0,2.41,178036973.0,4.0,2.0
31.0,2.0,2.0,14.0,1.0,4.0,5.0,2.0,7.0,9.0,10.0,8.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,4.0,1.0,10.0,98.0,4.0,3.0,0.4,178037508.0,4.0,2.0
63.0,5.0,1.0,15.0,2.0,4.0,5.0,5.0,2.0,7.0,3.0,8.0,13.0,,,,,,,,6.0,1.0,,1.0,15.0,6.0,5.0,8.0,0.61,178037577.0,4.0,1.0
31.0,2.0,1.0,16.0,1.0,4.0,3.0,7.0,2.0,3.0,8.0,3.0,1.0,,,,,,,,9.0,10.0,2.0,3.0,1.0,3.0,2.0,6.0,0.98,178037627.0,4.0,2.0
