IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P3,P4,P5_1,P5_2,P5_3,P_PCD_1,P_PCD_2,P_PCD_3,ORIENT,IDENT,RACA_COR,RELIGIAO,REND1,REND2,REGIAO,AMOSTRA,FATOR_POND,ID,TIPO_COLETA
30.0,2.0,1.0,14.0,2.0,3.0,1.0,,4.0,10.0,6.0,1.0,,,5.0,99.0,5.0,2.0,3.0,2.0,4.0,3.0,0.8627211405977069,161138951.0,4.0
37.0,3.0,1.0,15.0,1.0,4.0,96.0,,1.0,2.0,7.0,4.0,,,2.0,2.0,3.0,16.0,5.0,4.0,7.0,3.0,1.718767288536458,161146341.0,4.0
54.0,4.0,1.0,13.0,2.0,4.0,5.0,,10.0,1.0,7.0,4.0,,,1.0,2.0,1.0,19.0,98.0,4.0,2.0,3.0,0.6504514005972567,161146342.0,4.0
52.0,4.0,1.0,14.0,2.0,4.0,5.0,,2.0,6.0,7.0,4.0,,,1.0,2.0,1.0,1.0,98.0,2.0,1.0,3.0,0.2917388059726729,161146446.0,4.0
40.0,3.0,1.0,16.0,2.0,4.0,97.0,,2.0,6.0,7.0,4.0,,,1.0,2.0,3.0,10.0,98.0,6.0,7.0,3.0,1.037803531202181,161146616.0,4.0
57.0,4.0,2.0,14.0,2.0,4.0,1.0,1.0,2.0,1.0,6.0,4.0,,,1.0,1.0,1.0,1.0,4.0,4.0,7.0,3.0,1.8093240517929887,161146771.0,4.0
44.0,3.0,2.0,14.0,2.0,4.0,3.0,1.0,6.0,2.0,3.0,4.0,,,1.0,1.0,1.0,2.0,6.0,6.0,6.0,3.0,0.815122934373459,161146878.0,4.0
29.0,2.0,2.0,14.0,1.0,4.0,3.0,1.0,6.0,8.0,9.0,4.0,,,1.0,1.0,1.0,1.0,99.0,99.0,5.0,3.0,1.2104277827069245,161147236.0,4.0
47.0,4.0,1.0,14.0,2.0,4.0,3.0,,6.0,7.0,8.0,2.0,,,1.0,2.0,1.0,10.0,98.0,6.0,5.0,3.0,1.051286877046515,161147383.0,4.0
25.0,2.0,2.0,16.0,1.0,4.0,2.0,2.0,6.0,10.0,2.0,4.0,,,1.0,1.0,1.0,16.0,5.0,5.0,5.0,3.0,1.4222619896910507,161147549.0,4.0
34.0,2.0,1.0,16.0,2.0,4.0,97.0,,5.0,6.0,1.0,4.0,,,1.0,2.0,1.0,99.0,99.0,99.0,1.0,3.0,0.24133797737077395,161148102.0,4.0
23.0,1.0,2.0,14.0,2.0,4.0,3.0,3.0,2.0,7.0,6.0,4.0,,,1.0,1.0,3.0,10.0,98.0,5.0,5.0,3.0,2.179830024780407,161148459.0,4.0
29.0,2.0,2.0,16.0,2.0,4.0,1.0,3.0,2.0,10.0,3.0,2.0,,,1.0,1.0,2.0,20.0,98.0,4.0,4.0,3.0,1.1115819686115744,161149477.0,4.0
26.0,2.0,2.0,16.0,1.0,4.0,1.0,99.0,99.0,,,98.0,,,99.0,99.0,3.0,99.0,4.0,3.0,7.0,3.0,0.9365457351387877,161151609.0,4.0
