IDADE,FX_ID,SEXO,ESCOLARIDADE,OCUPACAO,CLASSE,P1,P2_1,P2_2,P2_3,P3,P4_1,P4_2,P4_3,P5A,P5B,P5C,P5D,P5E,P5F,P5G,P6_1,P6_2,P6_3,P7A,P7B,P7C,P7D,P7E,P8,P9_1,P9_2,P9_3,P9_4,P9_5,P9_6,P10_1,P10_2,P10_3,P10_4,P10_5,P10_6,P10_7,P10_8,P11_1,P11_2,P11_3,P12,P_RACA,P_RELIGIAO,REND1,REND2,REGIAO,FATOR_POND,TIPO_COLETA,AMOSTRA,ID
30.0,2.0,1.0,14.0,2.0,3.0,98.0,2.0,3.0,,98.0,1.0,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,6.0,,,,,,,,4.0,6.0,7.0,3.0,5.0,2.0,3.0,2.0,4.0,0.8627211405977069,4.0,3.0,161138951.0
37.0,3.0,1.0,15.0,1.0,4.0,1.0,4.0,5.0,,1.0,3.0,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,,,,,,8.0,7.0,1.0,,,,,,4.0,9.0,2.0,1.0,3.0,16.0,5.0,4.0,7.0,1.718767288536458,4.0,3.0,161146341.0
54.0,4.0,1.0,13.0,2.0,4.0,1.0,1.0,5.0,9.0,1.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,1.0,2.0,1.0,3.0,1.0,5.0,2.0,5.0,,,,,2.0,8.0,6.0,,,,,,1.0,9.0,6.0,1.0,1.0,19.0,98.0,4.0,2.0,0.6504514005972567,4.0,3.0,161146342.0
52.0,4.0,1.0,14.0,2.0,4.0,1.0,5.0,7.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,,,,2.0,5.0,3.0,,,,,,8.0,7.0,5.0,1.0,1.0,1.0,98.0,2.0,1.0,0.2917388059726729,4.0,3.0,161146446.0
40.0,3.0,1.0,16.0,2.0,4.0,1.0,3.0,5.0,7.0,1.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,7.0,1.0,3.0,1.0,3.0,1.0,2.0,5.0,1.0,3.0,2.0,,,1.0,2.0,8.0,5.0,3.0,,,,9.0,3.0,8.0,1.0,3.0,10.0,98.0,6.0,7.0,1.037803531202181,4.0,3.0,161146616.0
57.0,4.0,2.0,14.0,2.0,4.0,1.0,1.0,4.0,6.0,3.0,1.0,2.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,2.0,,,,1.0,6.0,3.0,,,,,,2.0,5.0,9.0,1.0,1.0,1.0,4.0,4.0,7.0,1.8093240517929887,4.0,3.0,161146771.0
44.0,3.0,2.0,14.0,2.0,4.0,1.0,4.0,5.0,6.0,3.0,2.0,3.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,99.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,5.0,4.0,6.0,3.0,1.0,2.0,8.0,7.0,6.0,5.0,3.0,4.0,2.0,3.0,5.0,1.0,1.0,2.0,6.0,6.0,6.0,0.815122934373459,4.0,3.0,161146878.0
29.0,2.0,2.0,14.0,1.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0,6.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,2.0,5.0,,,,6.0,5.0,,,,,,,9.0,8.0,4.0,1.0,1.0,1.0,99.0,99.0,5.0,1.2104277827069245,4.0,3.0,161147236.0
47.0,4.0,1.0,14.0,2.0,4.0,1.0,1.0,5.0,7.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,4.0,6.0,2.0,,,,,,5.0,8.0,2.0,1.0,1.0,10.0,98.0,6.0,5.0,1.051286877046515,4.0,3.0,161147383.0
25.0,2.0,2.0,16.0,1.0,4.0,1.0,8.0,,,2.0,1.0,,,2.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,,,2.0,2.0,2.0,2.0,2.0,6.0,6.0,,,,,,4.0,,,,,,,,1.0,6.0,3.0,2.0,1.0,16.0,5.0,5.0,5.0,1.4222619896910507,4.0,3.0,161147549.0
