IDADE,FX_IDADE,SEXO,p1,p901a,p901b,p901c,p901d,p901e,p901f,p901g,p901h,p901i,p901j,p901k,p901l,p901m,p901n,p901o,p901p,p901q,p901r,p901s,p901t,p906,pea,carro,empreg,maqlav,dvd,banhe,gelad,freezer,comput,lavlou,microon,motocic,secadora,agua,rua,escola,escolac,CLASSE2,RCLASSE2,rendaf,cor,METROP,REGIAO,PESO,nquest
53.0,4.0,1.0,3.0,5.0,3.0,5.0,1.0,1.0,5.0,1.0,1.0,99.0,5.0,5.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0,1.0,1.0,4.0,10.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,2.0,2.0,12.0,6.0,9.0,2.0,1.0,3.0,0.6925015088959204,185713161.0
41.0,3.0,2.0,1.0,4.0,2.0,5.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,5.0,1.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,96.0,96.0,96.0,2.0,1.0,2.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,2.0,1.0,2.0,14.0,6.0,1.0,3.0,3.0,3.0,1.3988918987660035,185714046.0
58.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,96.0,96.0,1.0,1.0,1.0,1.0,96.0,96.0,96.0,1.0,1.0,96.0,1.0,1.0,3.0,3.0,19.0,5.0,1.0,3.0,3.0,3.0,1.0448190582225378,185714177.0
22.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,7.0,96.0,96.0,96.0,96.0,1.0,2.0,96.0,96.0,96.0,96.0,1.0,96.0,1.0,1.0,5.0,5.0,17.0,5.0,1.0,3.0,3.0,3.0,1.1258863753430894,185714207.0
33.0,2.0,2.0,5.0,5.0,5.0,5.0,1.0,5.0,99.0,1.0,1.0,99.0,99.0,2.0,1.0,2.0,1.0,99.0,1.0,2.0,5.0,1.0,5.0,96.0,10.0,96.0,96.0,96.0,96.0,1.0,1.0,1.0,1.0,96.0,96.0,96.0,96.0,1.0,2.0,5.0,5.0,18.0,5.0,9.0,3.0,1.0,3.0,0.6123156370195574,185714317.0
75.0,5.0,1.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,1.0,96.0,96.0,1.0,1.0,2.0,2.0,17.0,5.0,1.0,5.0,1.0,5.0,0.6723669626539084,185714348.0
58.0,4.0,1.0,5.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,12.0,1.0,96.0,96.0,96.0,2.0,1.0,1.0,1.0,96.0,1.0,96.0,96.0,1.0,1.0,4.0,4.0,27.0,4.0,1.0,5.0,1.0,3.0,0.561848005456724,185714506.0
18.0,1.0,1.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,5.0,1.0,3.0,1.0,96.0,96.0,1.0,1.0,2.0,1.0,1.0,96.0,96.0,1.0,96.0,96.0,1.0,1.0,4.0,3.0,24.0,4.0,9.0,3.0,2.0,1.0,1.27121684251953,185714561.0
67.0,5.0,1.0,3.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,5.0,5.0,4.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,5.0,12.0,96.0,96.0,96.0,96.0,1.0,1.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,1.0,7.0,7.0,18.0,5.0,1.0,4.0,1.0,3.0,0.4153410627968143,185714574.0
65.0,5.0,2.0,1.0,4.0,2.0,5.0,4.0,4.0,1.0,1.0,1.0,5.0,1.0,4.0,5.0,5.0,1.0,4.0,5.0,4.0,2.0,1.0,1.0,5.0,12.0,1.0,96.0,1.0,1.0,3.0,1.0,1.0,2.0,96.0,1.0,96.0,96.0,1.0,1.0,8.0,8.0,41.0,2.0,5.0,3.0,1.0,3.0,0.8245778875107288,185714632.0
