Numero,Título,Link da pesquisa,Data,Local
18,EUTANÁSIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/11,04/1987,SÃO PAULO/CAP
279,CASAMENTO,https://www.cesop.unicamp.br/por/banco_de_dados/v/1597,09/1991,SÃO PAULO-CAP/SP
282,PAPA JOÃO PAULO II E OS CATÓLICOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1600,10/1991,CAPITAIS (VÁRIAS)
322,AVALIAÇÃO ITAMAR FRANCO (6 MESES) - CULTURA POLÍTICA IV - PLEBISCITO V - CEDEC,https://www.cesop.unicamp.br/por/banco_de_dados/v/1384,03/1993,BRASIL
387,IDENTIDADE BRASILEIRA E VALORES,https://www.cesop.unicamp.br/por/banco_de_dados/v/1446,11/1994,BRASIL
499,300 ANOS DE ZUMBI/ OS BRASILEIROS E O PRECONCEITO DE COR,https://www.cesop.unicamp.br/por/banco_de_dados/v/1553,04/1995,BRASIL
526,ENSINO RELIGIOSO NAS ESCOLAS PÚBLICAS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1242,10/1995,SÃO PAULO-CAP/SP
533,IMAGEM DA IGREJA UNIVERSAL DO REINO DE DEUS/ EXPECTATIVA DO DESEMPENHO DO EDMUNDO NO CORINTHIANS,https://www.cesop.unicamp.br/por/banco_de_dados/v/1247,01/1996,SÃO PAULO-CAP/SP
828,ABORTO,https://www.cesop.unicamp.br/por/banco_de_dados/v/941,08/1997,SÃO PAULO/CAP
849,DOAÇÃO DE ÓRGÃOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/957,01/1998,SÃO PAULO/CAP
853,FAMÍLIA BRASILEIRA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4260,02/1998,BRASIL
862,PESQUISA DE VITIMIZAÇÃO,https://www.cesop.unicamp.br/por/banco_de_dados/v/968,11/1997,SÃO PAULO/CAP
1193,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/318,01/1997,BRASIL
1825,CULTURA POLÍTICA E CIDADANIA I,https://www.cesop.unicamp.br/por/banco_de_dados/v/2299,11/1997,BRASIL
