Número da pesquisa,Título,Link da pesquisa,Data,Local,Instituto de pesquisa
00005,AVALIAÇÃO PREFEITO DE GARÇA / GOVERNADOR DE SÃO PAULO / PRESIDENTE COSTA E SILVA,https://www.cesop.unicamp.br/por/banco_de_dados/v/1740,06/1968,GARÇA/SP,IBOPE
00007,PLANO ECONÔMICO - CRUZADO I (6 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/1741,08/1986,SÃO PAULO/CAP,DATAFOLHA
00008,HORÁRIO ELEITORAL GRATUITO - ELEIÇÃO GOVERNADOR 86,https://www.cesop.unicamp.br/por/banco_de_dados/v/7,09/1986,SÃO PAULO/CAP,DATAFOLHA
00009,PLANO ECONÔMICO - CRUZADO I (8 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/1,09/1986,SÃO PAULO/CAP,DATAFOLHA
00010,PLANO ECONÔMICO - CRUZADO II,https://www.cesop.unicamp.br/por/banco_de_dados/v/2481,11/1986,SÃO PAULO/CAP,DATAFOLHA
00011,PLANO ECONÔMICO - CRUZADO I (9 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/2,11/1986,SÃO PAULO/CAP,DATAFOLHA
00012,MANDATO PRESIDENTE SARNEY/ AVALIAÇÃO DO PRESIDENTE SARNEY/ INTENÇÃO DE VOTO PARA PRESIDENTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/3,12/1986,SÃO PAULO/CAP,DATAFOLHA
00013,CONSTITUINTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/4,01/1987,SÃO PAULO/CAP,DATAFOLHA
00014,POLÍTICA BRASIL,https://www.cesop.unicamp.br/por/banco_de_dados/v/5,03/1987,BRASIL,IBOPE
00016,PRONUNCIAMENTO SARNEY/ MORATÓRIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/9,02/1987,SÃO PAULO/CAP,DATAFOLHA
00017,CONSTITUINTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/10,02/1987,DISTRITO FEDERAL/DF,DATAFOLHA
00018,EUTANÁSIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/11,04/1987,SÃO PAULO/CAP,DATAFOLHA
00019,PRESIDENCIALISMO X PARLAMENTARISMO,https://www.cesop.unicamp.br/por/banco_de_dados/v/12,04/1987,SÃO PAULO/CAP,DATAFOLHA
00020,DIÁRIO DO CONSTITUINTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/13,04/1987,SÃO PAULO/CAP,DATAFOLHA
00021,NOVO CONGELAMENTO DE PREÇOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/14,04/1987,SÃO PAULO/CAP,DATAFOLHA
00023,SAÍDA DE FUNARO (MINISTRO),https://www.cesop.unicamp.br/por/banco_de_dados/v/16,04/1987,SÃO PAULO/CAP,DATAFOLHA
00024,DISCUSSÕES CONJUGAIS,https://www.cesop.unicamp.br/por/banco_de_dados/v/17,04/1987,SÃO PAULO/CAP,DATAFOLHA
00025,ELEIÇÕES DIRETAS PRESIDENTE/ TROCA MINISTRO ECONOMIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/18,04/1987,SÃO PAULO/CAP,DATAFOLHA
00026,ORÇAMENTO DOMÉSTICO,https://www.cesop.unicamp.br/por/banco_de_dados/v/19,05/1987,SÃO PAULO/CAP,DATAFOLHA
00027,CONSTITUINTE II,https://www.cesop.unicamp.br/por/banco_de_dados/v/20,05/1987,DISTRITO FEDERAL/DF,DATAFOLHA
00028,AVALIAÇÃO SARNEY,https://www.cesop.unicamp.br/por/banco_de_dados/v/21,05/1987,CAPITAIS (VÁRIAS),DATAFOLHA
00029,PROGRAMAÇÃO DE FILMES NA TV,https://www.cesop.unicamp.br/por/banco_de_dados/v/22,05/1987,SÃO PAULO/CAP,DATAFOLHA
00030,RESOLUÇÃO CONCINE (CONSELHO NACIONAL DE CINEMA),https://www.cesop.unicamp.br/por/banco_de_dados/v/23,05/1987,SÃO PAULO/CAP,DATAFOLHA
00031,PLANO ECONÔMICO - NOVO CRUZADO I,https://www.cesop.unicamp.br/por/banco_de_dados/v/24,06/1987,SÃO PAULO/CAP,DATAFOLHA
00032,PLANO ECONÔMICO - NOVO CRUZADO II,https://www.cesop.unicamp.br/por/banco_de_dados/v/25,06/1987,CAPITAIS (VÁRIAS),DATAFOLHA
00033,LICENÇA DE JÂNIO QUADROS,https://www.cesop.unicamp.br/por/banco_de_dados/v/26,06/1987,SÃO PAULO-CAP/SP,DATAFOLHA
00035,VOTO NACIONAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/28,07/1987,BRASIL,IBOPE
00036,PLANO ECONÔMICO - BRESSER (1 MÊS),https://www.cesop.unicamp.br/por/banco_de_dados/v/29,07/1987,SÃO PAULO-CAP/SP,DATAFOLHA
00037,MÃE DE ALUGUEL,https://www.cesop.unicamp.br/por/banco_de_dados/v/30,07/1987,SÃO PAULO-CAP/SP,DATAFOLHA
00039,AVALIAÇÃO PMDB,https://www.cesop.unicamp.br/por/banco_de_dados/v/31,07/1987,CAPITAIS (VÁRIAS),DATAFOLHA
00041,PLANO ECONÔMICO - BRESSER (2 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/32,08/1987,SÃO PAULO-CAP/SP,DATAFOLHA
00043,VOTO NACIONAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/34,09/1987,BRASIL,IBOPE
00044,GREVE GERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/35,08/1987,SÃO PAULO-CAP/SP,DATAFOLHA
00045,PLANO ECONÔMICO - BRESSER (3 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/36,09/1987,CAPITAIS (VÁRIAS),DATAFOLHA
00047,CONSTITUINTE III - COMISSÃO DE SISTEMATIZAÇÃO,https://www.cesop.unicamp.br/por/banco_de_dados/v/37,09/1987,DISTRITO FEDERAL/DF,DATAFOLHA
00048,MANDATO PRESIDENCIAL/ SISTEMA DE GOVERNO,https://www.cesop.unicamp.br/por/banco_de_dados/v/38,10/1987,CAPITAIS (VÁRIAS),DATAFOLHA
00051,ROUBO DE CARROS,https://www.cesop.unicamp.br/por/banco_de_dados/v/39,10/1987,SÃO PAULO-CAP/SP,DATAFOLHA
00053,MILITARES I,https://www.cesop.unicamp.br/por/banco_de_dados/v/41,10/1987,SÃO PAULO-CAP/SP,DATAFOLHA
00054,MILITARES II,https://www.cesop.unicamp.br/por/banco_de_dados/v/42,10/1987,SÃO PAULO-CAP/SP,DATAFOLHA
00055,MILITARES III,https://www.cesop.unicamp.br/por/banco_de_dados/v/44,11/1987,SÃO PAULO-CAP/SP,DATAFOLHA
00056,AVALIAÇÃO ULYSSES E SARNEY,https://www.cesop.unicamp.br/por/banco_de_dados/v/40,11/1987,CAPITAIS (VÁRIAS),DATAFOLHA
00058,SISTEMA DE GOVERNO / PRIMEIRO MINISTRO,https://www.cesop.unicamp.br/por/banco_de_dados/v/45,11/1987,CAPITAIS (VÁRIAS),DATAFOLHA
00059,CONSTITUINTE IV,https://www.cesop.unicamp.br/por/banco_de_dados/v/47,12/1987,DISTRITO FEDERAL/DF,DATAFOLHA
00061,EMPRESÁRIOS: EXPECTATIVA 88 E SARNEY,https://www.cesop.unicamp.br/por/banco_de_dados/v/49,12/1987,BRASIL,DATAFOLHA
00063,AVALIAÇÃO PREFEITO DE SÃO PAULO - 2 ANO,https://www.cesop.unicamp.br/por/banco_de_dados/v/51,12/1987,SÃO PAULO-CAP/SP,DATAFOLHA
00065,GASTOS DO GOVERNO QUÉRCIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/53,12/1987,SÃO PAULO-CAP/SP,DATAFOLHA
00066,HOMOSSEXUALISMO / AIDS,https://www.cesop.unicamp.br/por/banco_de_dados/v/55,01/1988,SÃO PAULO-CAP/SP,DATAFOLHA
00069,CONSTITUINTE V / SISTEMA DE GOVERNO E MANDATO SARNEY,https://www.cesop.unicamp.br/por/banco_de_dados/v/58,01/1988,DISTRITO FEDERAL/DF,DATAFOLHA
00070,TEMAS POLÊMICOS DA CONSTITUINTE I,https://www.cesop.unicamp.br/por/banco_de_dados/v/59,01/1988,CAPITAIS (VÁRIAS),DATAFOLHA
00071,TEMAS POLÊMICOS DA CONSTITUINTE II,https://www.cesop.unicamp.br/por/banco_de_dados/v/60,01/1988,CAPITAIS (VÁRIAS),DATAFOLHA
00072,MEDO DE CIRURGIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/62,02/1988,SÃO PAULO-CAP/SP,DATAFOLHA
