Número da pesquisa,Título,Link da pesquisa,Data,Local,Instituto de pesquisa,contém_religião,método_detecção
5,AVALIAÇÃO PREFEITO DE GARÇA / GOVERNADOR DE SÃO PAULO / PRESIDENTE COSTA E SILVA,https://www.cesop.unicamp.br/por/banco_de_dados/v/1740,06/1968,GARÇA/SP,IBOPE,False,IA
7,PLANO ECONÔMICO - CRUZADO I (6 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/1741,08/1986,SÃO PAULO/CAP,DATAFOLHA,False,IA
8,HORÁRIO ELEITORAL GRATUITO - ELEIÇÃO GOVERNADOR 86,https://www.cesop.unicamp.br/por/banco_de_dados/v/7,09/1986,SÃO PAULO/CAP,DATAFOLHA,False,IA
9,PLANO ECONÔMICO - CRUZADO I (8 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/1,09/1986,SÃO PAULO/CAP,DATAFOLHA,False,IA
10,PLANO ECONÔMICO - CRUZADO II,https://www.cesop.unicamp.br/por/banco_de_dados/v/2481,11/1986,SÃO PAULO/CAP,DATAFOLHA,False,IA
11,PLANO ECONÔMICO - CRUZADO I (9 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/2,11/1986,SÃO PAULO/CAP,DATAFOLHA,False,IA
12,MANDATO PRESIDENTE SARNEY/ AVALIAÇÃO DO PRESIDENTE SARNEY/ INTENÇÃO DE VOTO PARA PRESIDENTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/3,12/1986,SÃO PAULO/CAP,DATAFOLHA,False,IA
13,CONSTITUINTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/4,01/1987,SÃO PAULO/CAP,DATAFOLHA,False,IA
14,POLÍTICA BRASIL,https://www.cesop.unicamp.br/por/banco_de_dados/v/5,03/1987,BRASIL,IBOPE,False,IA_timeout
16,PRONUNCIAMENTO SARNEY/ MORATÓRIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/9,02/1987,SÃO PAULO/CAP,DATAFOLHA,False,IA
17,CONSTITUINTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/10,02/1987,DISTRITO FEDERAL/DF,DATAFOLHA,False,IA_timeout
18,EUTANÁSIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/11,04/1987,SÃO PAULO/CAP,DATAFOLHA,True,regex
19,PRESIDENCIALISMO X PARLAMENTARISMO,https://www.cesop.unicamp.br/por/banco_de_dados/v/12,04/1987,SÃO PAULO/CAP,DATAFOLHA,False,IA_timeout
20,DIÁRIO DO CONSTITUINTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/13,04/1987,SÃO PAULO/CAP,DATAFOLHA,False,IA_timeout
21,NOVO CONGELAMENTO DE PREÇOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/14,04/1987,SÃO PAULO/CAP,DATAFOLHA,False,IA_timeout
23,SAÍDA DE FUNARO (MINISTRO),https://www.cesop.unicamp.br/por/banco_de_dados/v/16,04/1987,SÃO PAULO/CAP,DATAFOLHA,False,IA_timeout
24,DISCUSSÕES CONJUGAIS,https://www.cesop.unicamp.br/por/banco_de_dados/v/17,04/1987,SÃO PAULO/CAP,DATAFOLHA,False,IA_timeout
25,ELEIÇÕES DIRETAS PRESIDENTE/ TROCA MINISTRO ECONOMIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/18,04/1987,SÃO PAULO/CAP,DATAFOLHA,False,IA_timeout
26,ORÇAMENTO DOMÉSTICO,https://www.cesop.unicamp.br/por/banco_de_dados/v/19,05/1987,SÃO PAULO/CAP,DATAFOLHA,False,IA
27,CONSTITUINTE II,https://www.cesop.unicamp.br/por/banco_de_dados/v/20,05/1987,DISTRITO FEDERAL/DF,DATAFOLHA,False,IA
28,AVALIAÇÃO SARNEY,https://www.cesop.unicamp.br/por/banco_de_dados/v/21,05/1987,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA
29,PROGRAMAÇÃO DE FILMES NA TV,https://www.cesop.unicamp.br/por/banco_de_dados/v/22,05/1987,SÃO PAULO/CAP,DATAFOLHA,False,IA_timeout
30,RESOLUÇÃO CONCINE (CONSELHO NACIONAL DE CINEMA),https://www.cesop.unicamp.br/por/banco_de_dados/v/23,05/1987,SÃO PAULO/CAP,DATAFOLHA,False,IA
31,PLANO ECONÔMICO - NOVO CRUZADO I,https://www.cesop.unicamp.br/por/banco_de_dados/v/24,06/1987,SÃO PAULO/CAP,DATAFOLHA,False,IA
32,PLANO ECONÔMICO - NOVO CRUZADO II,https://www.cesop.unicamp.br/por/banco_de_dados/v/25,06/1987,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA
33,LICENÇA DE JÂNIO QUADROS,https://www.cesop.unicamp.br/por/banco_de_dados/v/26,06/1987,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA
35,VOTO NACIONAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/28,07/1987,BRASIL,IBOPE,False,IA_timeout
36,PLANO ECONÔMICO - BRESSER (1 MÊS),https://www.cesop.unicamp.br/por/banco_de_dados/v/29,07/1987,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA
37,MÃE DE ALUGUEL,https://www.cesop.unicamp.br/por/banco_de_dados/v/30,07/1987,SÃO PAULO-CAP/SP,DATAFOLHA,True,regex
39,AVALIAÇÃO PMDB,https://www.cesop.unicamp.br/por/banco_de_dados/v/31,07/1987,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA_timeout
41,PLANO ECONÔMICO - BRESSER (2 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/32,08/1987,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
43,VOTO NACIONAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/34,09/1987,BRASIL,IBOPE,False,IA_timeout
44,GREVE GERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/35,08/1987,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
45,PLANO ECONÔMICO - BRESSER (3 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/36,09/1987,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA_timeout
47,CONSTITUINTE III - COMISSÃO DE SISTEMATIZAÇÃO,https://www.cesop.unicamp.br/por/banco_de_dados/v/37,09/1987,DISTRITO FEDERAL/DF,DATAFOLHA,False,IA
48,MANDATO PRESIDENCIAL/ SISTEMA DE GOVERNO,https://www.cesop.unicamp.br/por/banco_de_dados/v/38,10/1987,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA
51,ROUBO DE CARROS,https://www.cesop.unicamp.br/por/banco_de_dados/v/39,10/1987,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA
53,MILITARES I,https://www.cesop.unicamp.br/por/banco_de_dados/v/41,10/1987,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA
54,MILITARES II,https://www.cesop.unicamp.br/por/banco_de_dados/v/42,10/1987,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA
55,MILITARES III,https://www.cesop.unicamp.br/por/banco_de_dados/v/44,11/1987,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA
56,AVALIAÇÃO ULYSSES E SARNEY,https://www.cesop.unicamp.br/por/banco_de_dados/v/40,11/1987,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA
58,SISTEMA DE GOVERNO / PRIMEIRO MINISTRO,https://www.cesop.unicamp.br/por/banco_de_dados/v/45,11/1987,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA
59,CONSTITUINTE IV,https://www.cesop.unicamp.br/por/banco_de_dados/v/47,12/1987,DISTRITO FEDERAL/DF,DATAFOLHA,False,IA
61,EMPRESÁRIOS: EXPECTATIVA 88 E SARNEY,https://www.cesop.unicamp.br/por/banco_de_dados/v/49,12/1987,BRASIL,DATAFOLHA,False,IA
63,AVALIAÇÃO PREFEITO DE SÃO PAULO - 2 ANO,https://www.cesop.unicamp.br/por/banco_de_dados/v/51,12/1987,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA
65,GASTOS DO GOVERNO QUÉRCIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/53,12/1987,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA
66,HOMOSSEXUALISMO / AIDS,https://www.cesop.unicamp.br/por/banco_de_dados/v/55,01/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
69,CONSTITUINTE V / SISTEMA DE GOVERNO E MANDATO SARNEY,https://www.cesop.unicamp.br/por/banco_de_dados/v/58,01/1988,DISTRITO FEDERAL/DF,DATAFOLHA,False,IA_timeout
70,TEMAS POLÊMICOS DA CONSTITUINTE I,https://www.cesop.unicamp.br/por/banco_de_dados/v/59,01/1988,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA_timeout
71,TEMAS POLÊMICOS DA CONSTITUINTE II,https://www.cesop.unicamp.br/por/banco_de_dados/v/60,01/1988,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA_timeout
72,MEDO DE CIRURGIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/62,02/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
73,FUNCIONALISMO PÚBLICO,https://www.cesop.unicamp.br/por/banco_de_dados/v/105,03/1988,SÃO PAULO/SP,DATAFOLHA,False,IA_timeout
74,AVALIAÇÃO CMTC,https://www.cesop.unicamp.br/por/banco_de_dados/v/106,03/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
75,INSTITUIÇÕES NACIONAIS: PRESTÍGIO E PODER - A,https://www.cesop.unicamp.br/por/banco_de_dados/v/107,03/1988,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA_timeout
76,INSTITUIÇÕES NACIONAIS: PRESTÍGIO E PODER - B,https://www.cesop.unicamp.br/por/banco_de_dados/v/108,03/1988,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA_timeout
77,MANDATO PRESIDENTE SARNEY/ CONGRESSO CONSTITUINTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/109,03/1988,CAPITAIS (VÁRIAS),DATAFOLHA,False,IA_timeout
78,AVALIAÇÃO GILSON MENEZES,https://www.cesop.unicamp.br/por/banco_de_dados/v/110,04/1988,DIADEMA/SP,DATAFOLHA,False,IA_timeout
79,EMPRESÁRIOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/111,04/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
81,AIDS,https://www.cesop.unicamp.br/por/banco_de_dados/v/112,04/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA_timeout
82,AIDS / HOMOSSEXUALISMO,https://www.cesop.unicamp.br/por/banco_de_dados/v/113,04/1988,SÃO PAULO-CAP/SP,DATAFOLHA,False,IA
