Número da pesquisa,Título,Link da pesquisa,Data,Local,Instituto de pesquisa,contém_religião,método
5,AVALIAÇÃO PREFEITO DE GARÇA / GOVERNADOR DE SÃO PAULO / PRESIDENTE COSTA E SILVA,https://www.cesop.unicamp.br/por/banco_de_dados/v/1740,06/1968,GARÇA/SP,IBOPE,,
7,PLANO ECONÔMICO - CRUZADO I (6 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/1741,08/1986,SÃO PAULO/CAP,DATAFOLHA,,
8,HORÁRIO ELEITORAL GRATUITO - ELEIÇÃO GOVERNADOR 86,https://www.cesop.unicamp.br/por/banco_de_dados/v/7,09/1986,SÃO PAULO/CAP,DATAFOLHA,,
9,PLANO ECONÔMICO - CRUZADO I (8 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/1,09/1986,SÃO PAULO/CAP,DATAFOLHA,,
10,PLANO ECONÔMICO - CRUZADO II,https://www.cesop.unicamp.br/por/banco_de_dados/v/2481,11/1986,SÃO PAULO/CAP,DATAFOLHA,,
11,PLANO ECONÔMICO - CRUZADO I (9 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/2,11/1986,SÃO PAULO/CAP,DATAFOLHA,,
12,MANDATO PRESIDENTE SARNEY/ AVALIAÇÃO DO PRESIDENTE SARNEY/ INTENÇÃO DE VOTO PARA PRESIDENTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/3,12/1986,SÃO PAULO/CAP,DATAFOLHA,,
13,CONSTITUINTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/4,01/1987,SÃO PAULO/CAP,DATAFOLHA,,
14,POLÍTICA BRASIL,https://www.cesop.unicamp.br/por/banco_de_dados/v/5,03/1987,BRASIL,IBOPE,,
16,PRONUNCIAMENTO SARNEY/ MORATÓRIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/9,02/1987,SÃO PAULO/CAP,DATAFOLHA,,
17,CONSTITUINTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/10,02/1987,DISTRITO FEDERAL/DF,DATAFOLHA,,
18,EUTANÁSIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/11,04/1987,SÃO PAULO/CAP,DATAFOLHA,,
19,PRESIDENCIALISMO X PARLAMENTARISMO,https://www.cesop.unicamp.br/por/banco_de_dados/v/12,04/1987,SÃO PAULO/CAP,DATAFOLHA,,
20,DIÁRIO DO CONSTITUINTE,https://www.cesop.unicamp.br/por/banco_de_dados/v/13,04/1987,SÃO PAULO/CAP,DATAFOLHA,False,nenhum
21,NOVO CONGELAMENTO DE PREÇOS,https://www.cesop.unicamp.br/por/banco_de_dados/v/14,04/1987,SÃO PAULO/CAP,DATAFOLHA,False,nenhum
23,SAÍDA DE FUNARO (MINISTRO),https://www.cesop.unicamp.br/por/banco_de_dados/v/16,04/1987,SÃO PAULO/CAP,DATAFOLHA,False,nenhum
24,DISCUSSÕES CONJUGAIS,https://www.cesop.unicamp.br/por/banco_de_dados/v/17,04/1987,SÃO PAULO/CAP,DATAFOLHA,False,nenhum
25,ELEIÇÕES DIRETAS PRESIDENTE/ TROCA MINISTRO ECONOMIA,https://www.cesop.unicamp.br/por/banco_de_dados/v/18,04/1987,SÃO PAULO/CAP,DATAFOLHA,False,nenhum
26,ORÇAMENTO DOMÉSTICO,https://www.cesop.unicamp.br/por/banco_de_dados/v/19,05/1987,SÃO PAULO/CAP,DATAFOLHA,False,nenhum
27,CONSTITUINTE II,https://www.cesop.unicamp.br/por/banco_de_dados/v/20,05/1987,DISTRITO FEDERAL/DF,DATAFOLHA,False,nenhum
28,AVALIAÇÃO SARNEY,https://www.cesop.unicamp.br/por/banco_de_dados/v/21,05/1987,CAPITAIS (VÁRIAS),DATAFOLHA,False,nenhum
29,PROGRAMAÇÃO DE FILMES NA TV,https://www.cesop.unicamp.br/por/banco_de_dados/v/22,05/1987,SÃO PAULO/CAP,DATAFOLHA,False,nenhum
30,RESOLUÇÃO CONCINE (CONSELHO NACIONAL DE CINEMA),https://www.cesop.unicamp.br/por/banco_de_dados/v/23,05/1987,SÃO PAULO/CAP,DATAFOLHA,False,nenhum
31,PLANO ECONÔMICO - NOVO CRUZADO I,https://www.cesop.unicamp.br/por/banco_de_dados/v/24,06/1987,SÃO PAULO/CAP,DATAFOLHA,False,nenhum
32,PLANO ECONÔMICO - NOVO CRUZADO II,https://www.cesop.unicamp.br/por/banco_de_dados/v/25,06/1987,CAPITAIS (VÁRIAS),DATAFOLHA,False,nenhum
33,LICENÇA DE JÂNIO QUADROS,https://www.cesop.unicamp.br/por/banco_de_dados/v/26,06/1987,SÃO PAULO-CAP/SP,DATAFOLHA,False,nenhum
35,VOTO NACIONAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/28,07/1987,BRASIL,IBOPE,False,nenhum
36,PLANO ECONÔMICO - BRESSER (1 MÊS),https://www.cesop.unicamp.br/por/banco_de_dados/v/29,07/1987,SÃO PAULO-CAP/SP,DATAFOLHA,False,nenhum
37,MÃE DE ALUGUEL,https://www.cesop.unicamp.br/por/banco_de_dados/v/30,07/1987,SÃO PAULO-CAP/SP,DATAFOLHA,True,regex
39,AVALIAÇÃO PMDB,https://www.cesop.unicamp.br/por/banco_de_dados/v/31,07/1987,CAPITAIS (VÁRIAS),DATAFOLHA,False,nenhum
41,PLANO ECONÔMICO - BRESSER (2 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/32,08/1987,SÃO PAULO-CAP/SP,DATAFOLHA,False,nenhum
43,VOTO NACIONAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/34,09/1987,BRASIL,IBOPE,False,nenhum
44,GREVE GERAL,https://www.cesop.unicamp.br/por/banco_de_dados/v/35,08/1987,SÃO PAULO-CAP/SP,DATAFOLHA,False,nenhum
45,PLANO ECONÔMICO - BRESSER (3 MESES),https://www.cesop.unicamp.br/por/banco_de_dados/v/36,09/1987,CAPITAIS (VÁRIAS),DATAFOLHA,False,nenhum
47,CONSTITUINTE III - COMISSÃO DE SISTEMATIZAÇÃO,https://www.cesop.unicamp.br/por/banco_de_dados/v/37,09/1987,DISTRITO FEDERAL/DF,DATAFOLHA,False,nenhum
48,MANDATO PRESIDENCIAL/ SISTEMA DE GOVERNO,https://www.cesop.unicamp.br/por/banco_de_dados/v/38,10/1987,CAPITAIS (VÁRIAS),DATAFOLHA,False,nenhum
51,ROUBO DE CARROS,https://www.cesop.unicamp.br/por/banco_de_dados/v/39,10/1987,SÃO PAULO-CAP/SP,DATAFOLHA,False,nenhum
53,MILITARES I,https://www.cesop.unicamp.br/por/banco_de_dados/v/41,10/1987,SÃO PAULO-CAP/SP,DATAFOLHA,False,nenhum
54,MILITARES II,https://www.cesop.unicamp.br/por/banco_de_dados/v/42,10/1987,SÃO PAULO-CAP/SP,DATAFOLHA,False,nenhum
55,MILITARES III,https://www.cesop.unicamp.br/por/banco_de_dados/v/44,11/1987,SÃO PAULO-CAP/SP,DATAFOLHA,False,nenhum
56,AVALIAÇÃO ULYSSES E SARNEY,https://www.cesop.unicamp.br/por/banco_de_dados/v/40,11/1987,CAPITAIS (VÁRIAS),DATAFOLHA,False,nenhum
58,SISTEMA DE GOVERNO / PRIMEIRO MINISTRO,https://www.cesop.unicamp.br/por/banco_de_dados/v/45,11/1987,CAPITAIS (VÁRIAS),DATAFOLHA,False,nenhum
