Número,Título,Data,Local,Instituto de Pesquisa,Link
18,EUTANÁSIA,04/1987,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/11
91,PORTE DE ARMAS,06/1988,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/121
186,INTENÇÃO DE VOTO PRESIDENTE VI - CULTURA POLÍTICA I - CEDEC,09/1989,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/421
217,DOAÇÃO DE ÓRGÃOS,02/1990,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/456
239,AIDS,12/1990,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/565
279,CASAMENTO,09/1991,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/1597
282,PAPA JOÃO PAULO II E OS CATÓLICOS,10/1991,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/1600
294,BEIJO,11/1991,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/1616
345,INTENÇÃO DE VOTO PARA PRESIDENTE,05/1994,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/1408
503,PESQUISAS SOBRE ELEIÇÕES LEGISLATIVAS EM SÃO PAULO,01/1978,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/1219
387,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,11/1994,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/1446
507,DEMOCRATIZAÇÃO E IDENTIDADES COLETIVAS - 1ª ONDA,11/1986,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/1223
526,ENSINO RELIGIOSO NAS ESCOLAS PÚBLICAS,10/1995,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/1242
533,IMAGEM DA IGREJA UNIVERSAL DO REINO DE DEUS/ EXPECTATIVA DO DESEMPENHO DO EDMUNDO NO CORINTHIANS,01/1996,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/1247
547,"CONFIANÇA NAS INSTITUIÇÕES BRASIL IDENTIDADE, CIDADANIA E VALORES",12/1995,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/1258
828,ABORTO,08/1997,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/941
844,PROGRAMAÇÃO DE TV,11/1997,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/953
845,SEXUALIDADE DOS BRASILEIROS,11/1997,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/954
853,FAMÍLIA BRASILEIRA,02/1998,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/4260
862,PESQUISA DE VITIMIZAÇÃO,11/1997,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/968
865,AVALIAÇÃO FERNANDO HENRIQUE CARDOSO/ INTENÇÃO DE VOTO PARA PRESIDENTE/ AVALIAÇÃO PLANO REAL,05/1998,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/971
1198,PESQUISA COM ELEITORES,03/1998,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/332
1719,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,07/2002,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/1657
1702,INTENÇÃO DE VOTO PARA PRESIDENTE/ AVALIAÇÃO PRESIDENTE FERNANDO HENRIQUE CARDOSO/ GRAU DE INTERESSE PELAS ELEIÇÕES/...,09/2002,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/1625
1825,CULTURA POLÍTICA E CIDADANIA I,11/1997,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/2299
1827,A MULHER BRASILEIRA NO PÚBLICO E NO PRIVADO,10/2001,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/2251
2348,PESQUISA DE OPINIÃO PÚBLICA SOBRE ASSUNTOS POLÍTICOS E ADMINISTRATIVOS,05/2006,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/465
2483,CULTURA POLÍTICA,03/2006,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/2265
2528,AVALIAÇÃO DO PRESIDENTE LULA/ REFERENDO ARMAS DE FOGO/ INTENÇÃO DE VOTO PRESIDENTE/ CORRUPÇÃO NO GOVERNO LULA/ LULA...,10/2005,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/2268
2632,A CULTURA POLÍTICA DA DEMOCRACIA: BRASIL 2007,07/2007,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/2400
2636,RACISMO CORDIAL 2008,09/2008,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/3158
3192,CLASSE MÉDIA BRASILEIRA,11/2008,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/2972
3369,SEXUALIDADE DOS BRASILEIROS,09/2009,,,https://www.cesop.unicamp.br/por/banco_de_dados/v/3150
3370,CORRUPÇÃO NO BRASIL,01/2009,BRASIL,DATAFOLHA,https://www.cesop.unicamp.br/por/banco_de_dados/v/3151
3819,AVALIAÇÃO DA PRESIDENTE DILMA,04/2014,BRASIL,DATAFOLHA,https://www.cesop.unicamp.br/por/banco_de_dados/v/3598
3821,AVALIAÇÃO DE VOTO PRESIDENTE/AVALIAÇÃO DA PRESIDENTE DILMA/AVALIAÇÃO GERALDO ALCKMIN/INTENÇÃO DE VOTO SP,06/2014,BRASIL,DATAFOLHA,https://www.cesop.unicamp.br/por/banco_de_dados/v/3600
3932,DIVERSIDADE SEXUAL E HOMOFOBIA NO BRASIL,10/2008,BRASIL,FPA-FUNDAÇÃO PERSEU ABRAMO,https://www.cesop.unicamp.br/por/banco_de_dados/v/3898
4390,CONTAGEM DO PÚBLICO DA MARCHA PARA JESUS 2012,07/2012,BRASIL,DATAFOLHA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4218
4392,CONTAGEM DO PÚBLICO DA VISITA DO PAPA A COPACABANA,07/2012,RIO DE JANEIRO/CAP,DATAFOLHA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4220
4393,CONTAGEM DO PÚBLICO DA MARCHA PARA JESUS 2013,06/2013,BRASIL,DATAFOLHA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4221
4660,HÁBITOS DE CONSUMO DE MÍDIA PELA POPULAÇÃO BRASILEIRA,10/2013,BRASIL,IBOPE,https://www.cesop.unicamp.br/por/banco_de_dados/v/4504
4635,CONFIANÇA NAS INSTITUIÇÕES BRASILEIRAS (ICS),07/2015,BRASIL,IBOPE,https://www.cesop.unicamp.br/por/banco_de_dados/v/4479
4644,PERFIL DOS USUÁRIOS DE CRACK,04/2017,SÃO PAULO/CAP,DATAFOLHA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4488
4666,AVALIAÇÃO DA CONJUNTURA ECONÔMICA E SOCIAL E COPA DO MUNDO,03/2014,BRASIL,IBOPE,https://www.cesop.unicamp.br/por/banco_de_dados/v/4510
4683,CONJUNTURA E AVALIAÇÃO NACIONAL II,12/2015,BRASIL,IBOPE,https://www.cesop.unicamp.br/por/banco_de_dados/v/4528
4710,OPINIÃO SOBRE O CORONAVÍRUS - 9ª ONDA,01/2021,BRASIL,DATAFOLHA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4573
4703,OPINIÃO SOBRE O CORONAVÍRUS – 2ª ONDA,04/2020,BRASIL,DATAFOLHA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4547
4713,OPINIÃO SOBRE O CORONAVÍRUS – 12ª ONDA,07/2021,BRASIL,DATAFOLHA,https://www.cesop.unicamp.br/por/banco_de_dados/v/4600
