categoria,indice,wave,n,cronbach_alpha,ordinal_alpha,pearson_corr,spearman_corr,kendall_corr,polychoric_corr
Evangélicos,Religiosidade Subjetiva,wave-2-1991-br,52,-0.7095655734034452,,-0.3200082336022744,-0.3231468670435642,-0.30517859188684165,-0.44739329158269153
Evangélicos,Religiosidade Subjetiva,wave-3-1997-br,268,-4.440892098500626e-16,,,,,
Evangélicos,Religiosidade Subjetiva,wave-5-2006-br,387,0.048286310381711495,0.09487924738029574,0.034706544221994706,0.027592591986051403,0.026870977225603748,0.04980222237872777
Evangélicos,Religiosidade Subjetiva,wave-6-2014-br,244,-0.09362128804057335,-0.6239602335953817,-0.04967190851718035,-0.046682778906539914,-0.04491943883258229,-0.2377933268982601
Evangélicos,Religiosidade Subjetiva,wave-7-2018-br,469,-0.016374040818968982,-0.019707872815480306,-0.010421988852864134,-0.010421988852864144,-0.010421988852864146,-0.00975778382643395
Evangélicos,Religiosidade Subjetiva,Todas as ondas,1420,-0.5683457886948218,,-0.3021282518003381,-0.3085559193642263,-0.299396386681286,-0.43813849104850633
Evangélicos,Religiosidade Institucional,wave-2-1991-br,53,0.0,,,,,
Evangélicos,Religiosidade Institucional,wave-3-1997-br,269,0.004408388183070544,-0.01604161471325244,0.01232800349189607,0.007094071498490204,0.0068817195565456435,-0.007956985905538467
Evangélicos,Religiosidade Institucional,wave-5-2006-br,387,0.02907168443191699,0.4615683109779613,0.06564199266109866,0.07290751964482292,0.07124734295879803,0.3000252232657626
Evangélicos,Religiosidade Institucional,wave-6-2014-br,218,0.08108734245683835,0.09466354082488096,0.045093689531044645,0.027004780680104333,0.023987744511376172,0.04968337238760646
Evangélicos,Religiosidade Institucional,wave-7-2018-br,478,-0.061146066422342216,-0.324508754735453,-0.0304904604137826,-0.08522864463841633,-0.07874200472837772,-0.13960315446193478
Evangélicos,Religiosidade Institucional,Todas as ondas,1405,0.09892299524984227,0.1730356277537976,0.054165602915343364,0.05096879921490049,0.047679916376293374,0.09471209750032235
Católicos,Religiosidade Subjetiva,wave-2-1991-br,1151,-0.27169797540507723,-0.5274842991567426,-0.14657225449798708,-0.1448188012716311,-0.13740663146161503,-0.20869933765077386
Católicos,Religiosidade Subjetiva,wave-3-1997-br,145,4.440892098500626e-16,,,,,
Católicos,Religiosidade Subjetiva,wave-5-2006-br,329,-0.05578023610586813,-0.11097738167317935,-0.03188678139344958,-0.04609460384712972,-0.044247555229773236,-0.052571563597340706
Católicos,Religiosidade Subjetiva,wave-6-2014-br,1202,0.021464305492059355,0.1846450505220129,0.023572663576660643,0.01878793226875861,0.01823066939312298,0.10171291877387856
Católicos,Religiosidade Subjetiva,wave-7-2018-br,803,-0.06672722557402988,-0.07742994860367465,-0.037272269165156045,-0.037272269165156045,-0.03727226916515604,-0.03727199016059164
Católicos,Religiosidade Subjetiva,Todas as ondas,3630,-0.24268518878287004,-0.46456978217536754,-0.13461041691124578,-0.14906635861155218,-0.14160681500124295,-0.1884993419684437
Católicos,Religiosidade Institucional,wave-2-1991-br,1239,-0.008000749234042814,0.9140776667086874,-0.00892993057106007,-0.008929930571060072,-0.008929930571060072,0.841752341475672
